R0	log10eta	mean_logL	sim_no
1.0	-8.0		10
1.0	-7.8		10
1.0	-7.6		10
1.0	-7.3999999999999995		10
1.0	-7.199999999999999		10
1.0	-6.999999999999999		10
1.0	-6.799999999999999		10
1.0	-6.599999999999999		10
1.0	-6.399999999999999		10
1.0	-6.199999999999998		10
1.0	-5.999999999999998		10
1.0	-5.799999999999998		10
1.0	-5.599999999999998		10
1.0	-5.399999999999998		10
1.0	-5.1999999999999975		10
1.0	-4.999999999999997	-76.13625322849256	10
1.0	-4.799999999999997	-79.65711491876273	10
1.0	-4.599999999999997	-81.24858737937832	10
1.0	-4.399999999999997	-79.3804028621973	10
1.0	-4.199999999999997	-79.08049936443214	10
1.0	-3.9999999999999964	-80.26242368148114	10
1.0	-3.7999999999999963	-78.15141591508916	10
1.0	-3.599999999999996	-86.365818015739	10
1.0	-3.399999999999996	-89.70175691015643	10
1.0	-3.1999999999999957	-91.45099660772186	10
1.0	-2.9999999999999956	-94.64364819491779	10
1.0	-2.7999999999999954	-96.02160161037752	10
1.0	-2.599999999999995	-99.73704471111348	10
1.0	-2.399999999999995	-100.56318033815866	10
1.0	-2.199999999999995	-101.02794458017509	10
1.0	-1.9999999999999947	-102.74218107859556	10
1.1	-8.0		10
1.1	-7.8		10
1.1	-7.6		10
1.1	-7.3999999999999995		10
1.1	-7.199999999999999		10
1.1	-6.999999999999999		10
1.1	-6.799999999999999		10
1.1	-6.599999999999999		10
1.1	-6.399999999999999		10
1.1	-6.199999999999998		10
1.1	-5.999999999999998		10
1.1	-5.799999999999998		10
1.1	-5.599999999999998		10
1.1	-5.399999999999998		10
1.1	-5.1999999999999975		10
1.1	-4.999999999999997	-75.67438350259691	10
1.1	-4.799999999999997	-72.79282682809563	10
1.1	-4.599999999999997	-71.3756442547506	10
1.1	-4.399999999999997	-68.06266422975501	10
1.1	-4.199999999999997	-72.87516166419077	10
1.1	-3.9999999999999964	-73.75648235085086	10
1.1	-3.7999999999999963	-73.6867061252182	10
1.1	-3.599999999999996	-74.34562569213202	10
1.1	-3.399999999999996	-77.73978666600928	10
1.1	-3.1999999999999957	-81.30056967364337	10
1.1	-2.9999999999999956	-86.7140948260374	10
1.1	-2.7999999999999954	-86.30836183931034	10
1.1	-2.599999999999995	-90.10018221280036	10
1.1	-2.399999999999995	-91.51413737279537	10
1.1	-2.199999999999995	-92.91596445658126	10
