n_iter	R0	log10eta	llh
0.0	1.1	-8.0	-inf
0.0	1.1	-7.8	-inf
0.0	1.1	-7.6	-inf
0.0	1.1	-7.3999999999999995	-inf
0.0	1.1	-7.199999999999999	-inf
0.0	1.1	-6.999999999999999	-inf
0.0	1.1	-6.799999999999999	-inf
0.0	1.1	-6.599999999999999	-inf
0.0	1.1	-6.399999999999999	-88.98030442338819
0.0	1.1	-6.199999999999998	-inf
0.0	1.1	-5.999999999999998	-inf
0.0	1.1	-5.799999999999998	-inf
0.0	1.1	-5.599999999999998	-inf
0.0	1.1	-5.399999999999998	-69.23439712881193
0.0	1.1	-5.1999999999999975	-65.78197537890205
0.0	1.1	-4.999999999999997	-75.60131913348167
0.0	1.1	-4.799999999999997	-62.60196781882105
0.0	1.1	-4.599999999999997	-68.18782245013516
0.0	1.1	-4.399999999999997	-61.22628484741932
0.0	1.1	-4.199999999999997	-75.78238852860416
0.0	1.1	-3.9999999999999964	-80.1019794133787
0.0	1.1	-3.7999999999999963	-62.5487251079216
0.0	1.1	-3.599999999999996	-68.42262839692921
0.0	1.1	-3.399999999999996	-77.02384097303181
0.0	1.1	-3.1999999999999957	-81.69292217762049
0.0	1.1	-2.9999999999999956	-88.03354030523639
0.0	1.1	-2.7999999999999954	-78.38144809257055
0.0	1.1	-2.599999999999995	-92.63816180664715
0.0	1.1	-2.399999999999995	-92.05264181864338
0.0	1.1	-2.199999999999995	-92.70086256811874
0.0	1.1	-1.9999999999999947	-93.40258856994097
0.0	1.3	-8.0	-inf
0.0	1.3	-7.8	-inf
0.0	1.3	-7.6	-inf
0.0	1.3	-7.3999999999999995	-inf
0.0	1.3	-7.199999999999999	-51.91284532901298
0.0	1.3	-6.999999999999999	-47.98022971606812
0.0	1.3	-6.799999999999999	-inf
0.0	1.3	-6.599999999999999	-92.95129764433759
0.0	1.3	-6.399999999999999	-58.56071717648517
0.0	1.3	-6.199999999999998	-67.30957058985898
0.0	1.3	-5.999999999999998	-63.22663262058519
0.0	1.3	-5.799999999999998	-69.04471505492427
0.0	1.3	-5.599999999999998	-53.28333093321286
0.0	1.3	-5.399999999999998	-53.676269444628005
0.0	1.3	-5.1999999999999975	-48.95534397846781
0.0	1.3	-4.999999999999997	-48.72527098442083
0.0	1.3	-4.799999999999997	-55.94719486996805
0.0	1.3	-4.599999999999997	-71.71114257307278
0.0	1.3	-4.399999999999997	-52.7615506033561
0.0	1.3	-4.199999999999997	-43.84037888725493
0.0	1.3	-3.9999999999999964	-62.10626055223462
0.0	1.3	-3.7999999999999963	-63.919259377202536
0.0	1.3	-3.599999999999996	-54.727526271355586
0.0	1.3	-3.399999999999996	-54.33424918473939
0.0	1.3	-3.1999999999999957	-68.19594401704418
0.0	1.3	-2.9999999999999956	-70.27345820809781
0.0	1.3	-2.7999999999999954	-68.33238491929538
0.0	1.3	-2.599999999999995	-74.78885775399178
0.0	1.3	-2.399999999999995	-75.25546932392831
0.0	1.3	-2.199999999999995	-74.54943717690546
0.0	1.3	-1.9999999999999947	-76.95896786624368
0.0	1.5	-8.0	-59.003637188793704
0.0	1.5	-7.8	-88.26772157788812
0.0	1.5	-7.6	-inf
0.0	1.5	-7.3999999999999995	-66.64033368901946
0.0	1.5	-7.199999999999999	-inf
0.0	1.5	-6.999999999999999	-inf
0.0	1.5	-6.799999999999999	-85.20333932202719
0.0	1.5	-6.599999999999999	-41.4691505697839
0.0	1.5	-6.399999999999999	-inf
0.0	1.5	-6.199999999999998	-52.12325430874153
0.0	1.5	-5.999999999999998	-inf
0.0	1.5	-5.799999999999998	-35.361416436893904
0.0	1.5	-5.599999999999998	-40.59697655298908
0.0	1.5	-5.399999999999998	-55.44405332078813
0.0	1.5	-5.1999999999999975	-33.33515407508292
0.0	1.5	-4.999999999999997	-53.266343019243
0.0	1.5	-4.799999999999997	-50.4547396817962
0.0	1.5	-4.599999999999997	-42.174042920372
0.0	1.5	-4.399999999999997	-39.34693372762021
0.0	1.5	-4.199999999999997	-37.99067753919293
0.0	1.5	-3.9999999999999964	-38.813278725611866
0.0	1.5	-3.7999999999999963	-50.68261584219481
0.0	1.5	-3.599999999999996	-45.072420458591225
0.0	1.5	-3.399999999999996	-53.27915172162098
0.0	1.5	-3.1999999999999957	-48.06872918587995
0.0	1.5	-2.9999999999999956	-57.25036146934764
0.0	1.5	-2.7999999999999954	-49.121039992304645
0.0	1.5	-2.599999999999995	-55.23853538866045
0.0	1.5	-2.399999999999995	-58.20490795892145
0.0	1.5	-2.199999999999995	-60.72603787380498
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
