log10eta	R0	mean_logL	sim_no
-8.0	1.0		10
-8.0	1.1		10
-8.0	1.2		10
-8.0	1.3		10
-8.0	1.4		10
-8.0	1.5		10
-8.0	1.6		10
-8.0	1.7		10
-8.0	1.8		10
-8.0	1.9		10
-8.0	2.0		10
-8.0	2.1		10
-8.0	2.2		10
-8.0	2.3		10
-8.0	2.4		10
-8.0	2.5		10
-8.0	2.6		10
-8.0	2.7		10
-8.0	2.8		10
-8.0	2.9		10
-8.0	3.0		10
-8.0	3.1		10
-8.0	3.2		10
-8.0	3.3		10
-8.0	3.4		10
-8.0	3.5		10
-8.0	3.6		10
-8.0	3.7		10
-8.0	3.8		10
-8.0	3.9		10
-8.0	4.0		10
-7.8	1.0		10
-7.8	1.1		10
-7.8	1.2		10
-7.8	1.3		10
-7.8	1.4		10
-7.8	1.5		10
-7.8	1.6		10
-7.8	1.7		10
-7.8	1.8		10
-7.8	1.9		10
-7.8	2.0		10
-7.8	2.1		10
-7.8	2.2		10
-7.8	2.3		10
-7.8	2.4		10
-7.8	2.5		10
-7.8	2.6		10
-7.8	2.7		10
-7.8	2.8		10
-7.8	2.9		10
-7.8	3.0		10
-7.8	3.1		10
-7.8	3.2		10
-7.8	3.3		10
-7.8	3.4		10
-7.8	3.5		10
-7.8	3.6		10
-7.8	3.7		10
-7.8	3.8		10
-7.8	3.9		10
-7.8	4.0		10
-7.6	1.0		10
-7.6	1.1		10
-7.6	1.2		10
-7.6	1.3		10
-7.6	1.4		10
-7.6	1.5		10
-7.6	1.6		10
-7.6	1.7		10
-7.6	1.8		10
-7.6	1.9		10
-7.6	2.0		10
-7.6	2.1		10
-7.6	2.2		10
-7.6	2.3		10
-7.6	2.4		10
-7.6	2.5		10
-7.6	2.6		10
-7.6	2.7		10
-7.6	2.8		10
-7.6	2.9		10
-7.6	3.0		10
-7.6	3.1	-37.607440208561606	10
-7.6	3.2		10
-7.6	3.3		10
-7.6	3.4		10
-7.6	3.5		10
-7.6	3.6		10
-7.6	3.7		10
-7.6	3.8		10
-7.6	3.9	-inf	10
-7.6	4.0		10
-7.3999999999999995	1.0		10
-7.3999999999999995	1.1		10
-7.3999999999999995	1.2		10
-7.3999999999999995	1.3		10
-7.3999999999999995	1.4		10
-7.3999999999999995	1.5		10
-7.3999999999999995	1.6		10
-7.3999999999999995	1.7		10
-7.3999999999999995	1.8		10
-7.3999999999999995	1.9		10
-7.3999999999999995	2.0		10
-7.3999999999999995	2.1		10
-7.3999999999999995	2.2		10
-7.3999999999999995	2.3		10
-7.3999999999999995	2.4		10
-7.3999999999999995	2.5	-38.63658791936226	10
-7.3999999999999995	2.6		10
-7.3999999999999995	2.7		10
-7.3999999999999995	2.8		10
-7.3999999999999995	2.9		10
-7.3999999999999995	3.0		10
-7.3999999999999995	3.1		10
-7.3999999999999995	3.2	-35.00046578701566	10
-7.3999999999999995	3.3		10
-7.3999999999999995	3.4		10
-7.3999999999999995	3.5	-34.370595547932865	10
-7.3999999999999995	3.6		10
-7.3999999999999995	3.7		10
-7.3999999999999995	3.8	-35.68444942209362	10
-7.3999999999999995	3.9	-34.932238540783494	10
-7.3999999999999995	4.0	-32.54410021587301	10
-7.199999999999999	1.0		10
-7.199999999999999	1.1		10
-7.199999999999999	1.2		10
-7.199999999999999	1.3		10
-7.199999999999999	1.4		10
-7.199999999999999	1.5		10
-7.199999999999999	1.6		10
-7.199999999999999	1.7		10
-7.199999999999999	1.8		10
-7.199999999999999	1.9		10
-7.199999999999999	2.0		10
-7.199999999999999	2.1		10
-7.199999999999999	2.2		10
-7.199999999999999	2.3		10
-7.199999999999999	2.4	-38.29005625420449	10
-7.199999999999999	2.5		10
-7.199999999999999	2.6		10
-7.199999999999999	2.7	-37.39127280223994	10
-7.199999999999999	2.8		10
-7.199999999999999	2.9		10
-7.199999999999999	3.0	-35.279732994201844	10
-7.199999999999999	3.1	-34.13474800480542	10
-7.199999999999999	3.2	-33.541303513187216	10
-7.199999999999999	3.3	-33.14262820220629	10
-7.199999999999999	3.4	-32.859503201231995	10
-7.199999999999999	3.5	-32.381701903869434	10
-7.199999999999999	3.6		10
-7.199999999999999	3.7		10
-7.199999999999999	3.8	-31.112188119021408	10
-7.199999999999999	3.9	-33.765998133279695	10
-7.199999999999999	4.0	-31.841631865071445	10
-6.999999999999999	1.0		10
-6.999999999999999	1.1		10
-6.999999999999999	1.2		10
-6.999999999999999	1.3		10
-6.999999999999999	1.4		10
-6.999999999999999	1.5		10
-6.999999999999999	1.6		10
-6.999999999999999	1.7	-72.35834969264137	10
-6.999999999999999	1.8		10
-6.999999999999999	1.9		10
-6.999999999999999	2.0	-59.989635079743564	10
-6.999999999999999	2.1		10
-6.999999999999999	2.2		10
-6.999999999999999	2.3	-42.49117174751194	10
-6.999999999999999	2.4	-42.0592084285464	10
-6.999999999999999	2.5	-39.152871691068626	10
-6.999999999999999	2.6	-41.719943918111284	10
-6.999999999999999	2.7	-32.80830433350068	10
-6.999999999999999	2.8	-35.17391521862902	10
-6.999999999999999	2.9	-37.10551935396286	10
-6.999999999999999	3.0	-31.10133789041448	10
-6.999999999999999	3.1	-34.05223915892499	10
-6.999999999999999	3.2	-31.702133636602156	10
-6.999999999999999	3.3	-32.83673489293681	10
-6.999999999999999	3.4	-31.769437466214168	10
-6.999999999999999	3.5	-33.06778015886934	10
-6.999999999999999	3.6	-31.054745901069698	10
-6.999999999999999	3.7	-32.36989178322437	10
-6.999999999999999	3.8	-31.782974246635614	10
-6.999999999999999	3.9	-33.457760144648844	10
-6.999999999999999	4.0	-31.310799818335607	10
-6.799999999999999	1.0		10
-6.799999999999999	1.1		10
-6.799999999999999	1.2		10
-6.799999999999999	1.3		10
-6.799999999999999	1.4		10
-6.799999999999999	1.5		10
-6.799999999999999	1.6		10
-6.799999999999999	1.7		10
-6.799999999999999	1.8		10
-6.799999999999999	1.9	-50.38945988496516	10
-6.799999999999999	2.0		10
-6.799999999999999	2.1	-44.437478189730484	10
-6.799999999999999	2.2	-41.6373131565951	10
-6.799999999999999	2.3	-41.665571487935445	10
-6.799999999999999	2.4	-36.539062418038625	10
-6.799999999999999	2.5	-31.713691175083454	10
-6.799999999999999	2.6	-35.82386023740192	10
-6.799999999999999	2.7	-33.80415780309354	10
-6.799999999999999	2.8	-39.240311153052076	10
-6.799999999999999	2.9	-33.728172621792524	10
-6.799999999999999	3.0	-31.305499600033585	10
-6.799999999999999	3.1	-30.9978875831164	10
-6.799999999999999	3.2	-32.50782944726262	10
-6.799999999999999	3.3	-31.787573446208164	10
-6.799999999999999	3.4	-30.998294169228068	10
-6.799999999999999	3.5	-30.543422706428366	10
-6.799999999999999	3.6	-32.40509109041058	10
-6.799999999999999	3.7	-31.580823114499072	10
-6.799999999999999	3.8	-31.327398736917694	10
-6.799999999999999	3.9	-31.17643024599144	10
-6.799999999999999	4.0	-31.618301825912198	10
-6.599999999999999	1.0		10
-6.599999999999999	1.1		10
-6.599999999999999	1.2		10
-6.599999999999999	1.3		10
-6.599999999999999	1.4		10
-6.599999999999999	1.5		10
-6.599999999999999	1.6		10
-6.599999999999999	1.7		10
-6.599999999999999	1.8	-42.145249974751756	10
-6.599999999999999	1.9	-44.62532965093856	10
-6.599999999999999	2.0	-47.723060056857136	10
-6.599999999999999	2.1	-41.09273321851657	10
-6.599999999999999	2.2	-34.40752772131746	10
-6.599999999999999	2.3	-34.10898481740198	10
-6.599999999999999	2.4	-34.231689751110004	10
-6.599999999999999	2.5	-31.939986051715238	10
-6.599999999999999	2.6	-33.60402233482774	10
-6.599999999999999	2.7	-31.094223842707656	10
-6.599999999999999	2.8	-32.74973723089483	10
-6.599999999999999	2.9	-30.203440245723062	10
-6.599999999999999	3.0	-30.748332558597827	10
-6.599999999999999	3.1	-30.91709614346105	10
-6.599999999999999	3.2	-31.972377229054615	10
-6.599999999999999	3.3	-30.71354602288946	10
-6.599999999999999	3.4	-30.13224502145487	10
-6.599999999999999	3.5	-31.287271771813998	10
-6.599999999999999	3.6	-30.04252379417664	10
-6.599999999999999	3.7	-31.162110363164732	10
-6.599999999999999	3.8	-30.21264379529027	10
-6.599999999999999	3.9	-31.344227308883937	10
-6.599999999999999	4.0	-30.788025894137586	10
-6.399999999999999	1.0		10
-6.399999999999999	1.1		10
-6.399999999999999	1.2		10
-6.399999999999999	1.3		10
-6.399999999999999	1.4		10
-6.399999999999999	1.5		10
-6.399999999999999	1.6	-47.5758461177779	10
-6.399999999999999	1.7	-52.644073844456685	10
-6.399999999999999	1.8		10
-6.399999999999999	1.9	-40.155674526221695	10
-6.399999999999999	2.0	-46.73373051373234	10
-6.399999999999999	2.1	-38.77332286913385	10
-6.399999999999999	2.2	-35.65882233744842	10
-6.399999999999999	2.3	-32.55830727278906	10
-6.399999999999999	2.4	-34.616461925917406	10
-6.399999999999999	2.5	-33.10574220168176	10
-6.399999999999999	2.6	-32.12114210596552	10
-6.399999999999999	2.7	-30.752173400892463	10
-6.399999999999999	2.8	-30.91779440642834	10
-6.399999999999999	2.9	-31.792746641891757	10
-6.399999999999999	3.0	-30.925037679015475	10
-6.399999999999999	3.1	-30.408310306145	10
-6.399999999999999	3.2	-30.911209847872193	10
-6.399999999999999	3.3	-30.1582756469887	10
-6.399999999999999	3.4	-31.164162806128797	10
-6.399999999999999	3.5	-30.81694323006483	10
-6.399999999999999	3.6	-30.946139876424315	10
-6.399999999999999	3.7	-30.98061911285932	10
-6.399999999999999	3.8	-32.102018589663636	10
-6.399999999999999	3.9	-31.708028397738236	10
-6.399999999999999	4.0	-30.568237812862623	10
-6.199999999999998	1.0		10
-6.199999999999998	1.1		10
-6.199999999999998	1.2		10
-6.199999999999998	1.3		10
-6.199999999999998	1.4	-60.58535510235423	10
-6.199999999999998	1.5	-64.26700299850265	10
-6.199999999999998	1.6	-50.91424849481642	10
-6.199999999999998	1.7	-47.49049921896746	10
-6.199999999999998	1.8	-41.42946835593902	10
-6.199999999999998	1.9	-37.15774453714935	10
-6.199999999999998	2.0	-42.68330759630537	10
-6.199999999999998	2.1	-38.50612396699727	10
-6.199999999999998	2.2	-32.31789934801762	10
-6.199999999999998	2.3	-30.826317319588743	10
-6.199999999999998	2.4	-33.6423443022153	10
-6.199999999999998	2.5	-31.389445101098538	10
-6.199999999999998	2.6	-30.462503761903026	10
-6.199999999999998	2.7	-30.61121038736407	10
-6.199999999999998	2.8	-30.780685850980507	10
-6.199999999999998	2.9	-31.09379700829057	10
-6.199999999999998	3.0	-31.53942418874767	10
-6.199999999999998	3.1	-30.225565252882312	10
-6.199999999999998	3.2	-30.73834559538252	10
-6.199999999999998	3.3	-30.30034868986881	10
-6.199999999999998	3.4	-29.84768388823624	10
-6.199999999999998	3.5	-30.555899094184486	10
-6.199999999999998	3.6	-30.664402728674524	10
-6.199999999999998	3.7	-30.176252440899766	10
-6.199999999999998	3.8	-30.43061070462445	10
-6.199999999999998	3.9	-30.458205455493705	10
-6.199999999999998	4.0	-31.178753798763285	10
-5.999999999999998	1.0		10
-5.999999999999998	1.1		10
-5.999999999999998	1.2		10
-5.999999999999998	1.3	-67.65902625868185	10
-5.999999999999998	1.4		10
-5.999999999999998	1.5	-51.58560211087706	10
-5.999999999999998	1.6	-45.81658671955193	10
-5.999999999999998	1.7	-45.658210519930094	10
-5.999999999999998	1.8	-43.34178274368921	10
-5.999999999999998	1.9	-36.84930041012048	10
-5.999999999999998	2.0	-38.55748174885238	10
-5.999999999999998	2.1	-35.34522416450064	10
