n_iter	R0	log10eta	llh
0.0	1.1	-8.0	-inf
0.0	1.1	-7.8	-inf
0.0	1.1	-7.6	-inf
0.0	1.1	-7.3999999999999995	-inf
0.0	1.1	-7.199999999999999	-inf
0.0	1.1	-6.999999999999999	-inf
0.0	1.1	-6.799999999999999	-inf
0.0	1.1	-6.599999999999999	-inf
0.0	1.1	-6.399999999999999	-inf
0.0	1.1	-6.199999999999998	-inf
0.0	1.1	-5.999999999999998	-inf
0.0	1.1	-5.799999999999998	-inf
0.0	1.1	-5.599999999999998	-inf
0.0	1.1	-5.399999999999998	-inf
0.0	1.1	-5.1999999999999975	-inf
0.0	1.1	-4.999999999999997	-inf
0.0	1.1	-4.799999999999997	-inf
0.0	1.1	-4.599999999999997	-inf
0.0	1.1	-4.399999999999997	-inf
0.0	1.1	-4.199999999999997	-inf
0.0	1.1	-3.9999999999999964	-inf
0.0	1.1	-3.7999999999999963	-inf
0.0	1.1	-3.599999999999996	-inf
0.0	1.1	-3.399999999999996	-inf
0.0	1.1	-3.1999999999999957	-inf
0.0	1.1	-2.9999999999999956	-inf
0.0	1.1	-2.7999999999999954	-inf
0.0	1.1	-2.599999999999995	-inf
0.0	1.1	-2.399999999999995	-inf
0.0	1.1	-2.199999999999995	-inf
0.0	1.1	-1.9999999999999947	-inf
0.0	1.3	-8.0	-inf
0.0	1.3	-7.8	-inf
0.0	1.3	-7.6	-inf
0.0	1.3	-7.3999999999999995	-inf
0.0	1.3	-7.199999999999999	-inf
0.0	1.3	-6.999999999999999	-inf
0.0	1.3	-6.799999999999999	-inf
0.0	1.3	-6.599999999999999	-inf
0.0	1.3	-6.399999999999999	-inf
0.0	1.3	-6.199999999999998	-inf
0.0	1.3	-5.999999999999998	-inf
0.0	1.3	-5.799999999999998	-inf
0.0	1.3	-5.599999999999998	-inf
0.0	1.3	-5.399999999999998	-inf
0.0	1.3	-5.1999999999999975	-inf
0.0	1.3	-4.999999999999997	-inf
0.0	1.3	-4.799999999999997	-inf
0.0	1.3	-4.599999999999997	-inf
0.0	1.3	-4.399999999999997	-inf
0.0	1.3	-4.199999999999997	-inf
0.0	1.3	-3.9999999999999964	-inf
0.0	1.3	-3.7999999999999963	-inf
0.0	1.3	-3.599999999999996	-inf
0.0	1.3	-3.399999999999996	-inf
0.0	1.3	-3.1999999999999957	-inf
0.0	1.3	-2.9999999999999956	-inf
0.0	1.3	-2.7999999999999954	-inf
0.0	1.3	-2.599999999999995	-inf
0.0	1.3	-2.399999999999995	-inf
0.0	1.3	-2.199999999999995	-inf
0.0	1.3	-1.9999999999999947	-inf
0.0	1.5	-8.0	-inf
0.0	1.5	-7.8	-inf
0.0	1.5	-7.6	-inf
0.0	1.5	-7.3999999999999995	-inf
0.0	1.5	-7.199999999999999	-inf
0.0	1.5	-6.999999999999999	-inf
0.0	1.5	-6.799999999999999	-inf
0.0	1.5	-6.599999999999999	-inf
0.0	1.5	-6.399999999999999	-inf
0.0	1.5	-6.199999999999998	-inf
0.0	1.5	-5.999999999999998	-inf
0.0	1.5	-5.799999999999998	-inf
0.0	1.5	-5.599999999999998	-inf
0.0	1.5	-5.399999999999998	-inf
0.0	1.5	-5.1999999999999975	-inf
0.0	1.5	-4.999999999999997	-inf
0.0	1.5	-4.799999999999997	-inf
0.0	1.5	-4.599999999999997	-inf
0.0	1.5	-4.399999999999997	-inf
0.0	1.5	-4.199999999999997	-inf
0.0	1.5	-3.9999999999999964	-inf
0.0	1.5	-3.7999999999999963	-inf
0.0	1.5	-3.599999999999996	-inf
0.0	1.5	-3.399999999999996	-inf
0.0	1.5	-3.1999999999999957	-inf
0.0	1.5	-2.9999999999999956	-inf
0.0	1.5	-2.7999999999999954	-inf
0.0	1.5	-2.599999999999995	-inf
0.0	1.5	-2.399999999999995	-inf
0.0	1.5	-2.199999999999995	-inf
0.0	1.5	-1.9999999999999947	-inf
0.0	1.7	-8.0	-inf
0.0	1.7	-7.8	-inf
0.0	1.7	-7.6	-inf
0.0	1.7	-7.3999999999999995	-inf
0.0	1.7	-7.199999999999999	-inf
0.0	1.7	-6.999999999999999	-inf
0.0	1.7	-6.799999999999999	-inf
0.0	1.7	-6.599999999999999	-inf
0.0	1.7	-6.399999999999999	-inf
0.0	1.7	-6.199999999999998	-inf
0.0	1.7	-5.999999999999998	-inf
0.0	1.7	-5.799999999999998	-inf
0.0	1.7	-5.599999999999998	-inf
0.0	1.7	-5.399999999999998	-inf
0.0	1.7	-5.1999999999999975	-inf
0.0	1.7	-4.999999999999997	-inf
0.0	1.7	-4.799999999999997	-inf
0.0	1.7	-4.599999999999997	-inf
0.0	1.7	-4.399999999999997	-inf
0.0	1.7	-4.199999999999997	-inf
0.0	1.7	-3.9999999999999964	-inf
0.0	1.7	-3.7999999999999963	-inf
0.0	1.7	-3.599999999999996	-inf
0.0	1.7	-3.399999999999996	-inf
0.0	1.7	-3.1999999999999957	-inf
0.0	1.7	-2.9999999999999956	-inf
0.0	1.7	-2.7999999999999954	-inf
0.0	1.7	-2.599999999999995	-inf
0.0	1.7	-2.399999999999995	-inf
0.0	1.7	-2.199999999999995	-inf
0.0	1.7	-1.9999999999999947	-inf
0.0	1.9	-8.0	-inf
0.0	1.9	-7.8	-inf
0.0	1.9	-7.6	-inf
0.0	1.9	-7.3999999999999995	-inf
0.0	1.9	-7.199999999999999	-inf
0.0	1.9	-6.999999999999999	-inf
