n_iter	R0	timestart	llh
0.0	1.0	737838.0	-inf
0.0	1.0	737835.0	-inf
0.0	1.0	737832.0	-112.96858340943417
0.0	1.0	737829.0	-inf
0.0	1.0	737826.0	-inf
0.0	1.0	737823.0	-inf
0.0	1.0	737820.0	-inf
0.0	1.0	737817.0	-inf
0.0	1.0	737814.0	-inf
0.0	1.0	737811.0	-inf
0.0	1.0	737808.0	-inf
0.0	1.0	737805.0	-69.49775359249092
0.0	1.0	737802.0	-inf
0.0	1.0	737799.0	-inf
0.0	1.0	737796.0	-inf
0.0	1.0	737793.0	-62.23473447238132
0.0	1.0	737790.0	-inf
0.0	1.0	737787.0	-inf
0.0	1.0	737784.0	-94.25019130512685
0.0	1.0	737781.0	-55.0564560731036
0.0	1.0	737778.0	-69.40566297334765
0.0	1.0	737775.0	-69.05589547117299
0.0	1.0	737772.0	-51.645493063290346
0.0	1.0	737769.0	-46.176496522581324
0.0	1.0	737766.0	-45.00140724294843
0.0	1.0	737763.0	-48.688889952574776
0.0	1.1	737838.0	-inf
0.0	1.1	737835.0	-inf
0.0	1.1	737832.0	-inf
0.0	1.1	737829.0	-inf
0.0	1.1	737826.0	-93.20275927787822
0.0	1.1	737823.0	-inf
0.0	1.1	737820.0	-50.394328395600965
0.0	1.1	737817.0	-62.334068182582854
0.0	1.1	737814.0	-58.65129456971637
0.0	1.1	737811.0	-79.96956616860913
0.0	1.1	737808.0	-86.13039295791015
0.0	1.1	737805.0	-46.30249065447691
0.0	1.1	737802.0	-45.13101757113028
0.0	1.1	737799.0	-56.27736203809805
0.0	1.1	737796.0	-63.638537553336015
0.0	1.1	737793.0	-53.812995776550636
0.0	1.1	737790.0	-42.86259525728689
0.0	1.1	737787.0	-43.58514830078157
0.0	1.1	737784.0	-44.76036239561722
0.0	1.1	737781.0	-47.04169478230815
0.0	1.1	737778.0	-43.01427348422735
0.0	1.1	737775.0	-39.05367831000326
0.0	1.1	737772.0	-52.71651296889539
0.0	1.1	737769.0	-42.70199102831191
0.0	1.1	737766.0	-39.37565524721327
0.0	1.1	737763.0	-41.358916286381685
0.0	1.2000000000000002	737838.0	-inf
0.0	1.2000000000000002	737835.0	-85.03521187104573
0.0	1.2000000000000002	737832.0	-65.13499289916261
0.0	1.2000000000000002	737829.0	-77.86234148358679
0.0	1.2000000000000002	737826.0	-80.58907358398895
0.0	1.2000000000000002	737823.0	-60.71432306023298
0.0	1.2000000000000002	737820.0	-82.0235043280806
0.0	1.2000000000000002	737817.0	-65.81394164702171
0.0	1.2000000000000002	737814.0	-46.70082654850509
0.0	1.2000000000000002	737811.0	-44.46768019056773
0.0	1.2000000000000002	737808.0	-41.688927063312605
0.0	1.2000000000000002	737805.0	-45.79131966117625
0.0	1.2000000000000002	737802.0	-42.03212999223476
0.0	1.2000000000000002	737799.0	-38.717883689686225
0.0	1.2000000000000002	737796.0	-43.59934182191313
0.0	1.2000000000000002	737793.0	-36.396961129883515
0.0	1.2000000000000002	737790.0	-35.792427693515826
0.0	1.2000000000000002	737787.0	-40.94511157020693
0.0	1.2000000000000002	737784.0	-40.45629172183266
0.0	1.2000000000000002	737781.0	-35.13538272158063
0.0	1.2000000000000002	737778.0	-38.18970538209916
0.0	1.2000000000000002	737775.0	-35.945386308052626
0.0	1.2000000000000002	737772.0	-37.493676067566106
0.0	1.2000000000000002	737769.0	-40.03835794438463
0.0	1.2000000000000002	737766.0	-41.255448469395944
0.0	1.2000000000000002	737763.0	-35.2534887675183
0.0	1.3000000000000003	737838.0	-inf
0.0	1.3000000000000003	737835.0	-76.77150838614182
0.0	1.3000000000000003	737832.0	-70.78225525398376
0.0	1.3000000000000003	737829.0	-57.68073298108131
0.0	1.3000000000000003	737826.0	-84.21386374433995
0.0	1.3000000000000003	737823.0	-47.363221298464055
0.0	1.3000000000000003	737820.0	-43.13234884604001
0.0	1.3000000000000003	737817.0	-51.58863955210941
0.0	1.3000000000000003	737814.0	-51.78219438391731
0.0	1.3000000000000003	737811.0	-45.37582277072727
0.0	1.3000000000000003	737808.0	-37.49808117815875
0.0	1.3000000000000003	737805.0	-39.52230182108612
0.0	1.3000000000000003	737802.0	-43.37342030175935
0.0	1.3000000000000003	737799.0	-37.1711853915513
0.0	1.3000000000000003	737796.0	-36.294293603934676
0.0	1.3000000000000003	737793.0	-37.78779779367928
0.0	1.3000000000000003	737790.0	-40.27417619301133
0.0	1.3000000000000003	737787.0	-34.86423667422018
0.0	1.3000000000000003	737784.0	-36.64216703628314
0.0	1.3000000000000003	737781.0	-38.88631114696517
0.0	1.3000000000000003	737778.0	-35.28295226720928
0.0	1.3000000000000003	737775.0	-35.756903694842585
0.0	1.3000000000000003	737772.0	-34.968470532400254
0.0	1.3000000000000003	737769.0	-35.01787576498806
0.0	1.3000000000000003	737766.0	-36.741679615417354
0.0	1.3000000000000003	737763.0	-41.696116286392666
0.0	1.4000000000000004	737838.0	-63.303498831983575
0.0	1.4000000000000004	737835.0	-98.42744102380033
0.0	1.4000000000000004	737832.0	-65.93848333433648
0.0	1.4000000000000004	737829.0	-68.58827040538256
0.0	1.4000000000000004	737826.0	-50.326629365721004
0.0	1.4000000000000004	737823.0	-50.70668107529199
0.0	1.4000000000000004	737820.0	-39.32208018006639
0.0	1.4000000000000004	737817.0	-48.71943569845892
0.0	1.4000000000000004	737814.0	-37.28325598472017
0.0	1.4000000000000004	737811.0	-36.211469420708994
0.0	1.4000000000000004	737808.0	-39.608185479209695
0.0	1.4000000000000004	737805.0	-32.51136017638556
0.0	1.4000000000000004	737802.0	-32.8212442258053
0.0	1.4000000000000004	737799.0	-33.72063871195272
0.0	1.4000000000000004	737796.0	-33.269295089145956
0.0	1.4000000000000004	737793.0	-33.856679120420424
0.0	1.4000000000000004	737790.0	-37.02714563633095
0.0	1.4000000000000004	737787.0	-33.31728082705843
0.0	1.4000000000000004	737784.0	-34.780364993453226
0.0	1.4000000000000004	737781.0	-33.63092909399816
0.0	1.4000000000000004	737778.0	-35.6987318018717
0.0	1.4000000000000004	737775.0	-33.99287312650928
0.0	1.4000000000000004	737772.0	-35.258694926163386
0.0	1.4000000000000004	737769.0	-36.40415896945398
0.0	1.4000000000000004	737766.0	-41.81196461193332
0.0	1.4000000000000004	737763.0	-39.70340257258992
0.0	1.5000000000000004	737838.0	-74.62201011662525
0.0	1.5000000000000004	737835.0	-74.61317982726236
0.0	1.5000000000000004	737832.0	-58.15922033552184
0.0	1.5000000000000004	737829.0	-54.76296161773078
0.0	1.5000000000000004	737826.0	-44.7238463437581
0.0	1.5000000000000004	737823.0	-37.83326585471431
0.0	1.5000000000000004	737820.0	-42.09039962213992
0.0	1.5000000000000004	737817.0	-36.95155415590407
0.0	1.5000000000000004	737814.0	-39.61975032072207
0.0	1.5000000000000004	737811.0	-37.80459741014783
0.0	1.5000000000000004	737808.0	-34.098841111177045
0.0	1.5000000000000004	737805.0	-34.25095187119785
0.0	1.5000000000000004	737802.0	-30.949023867418557
0.0	1.5000000000000004	737799.0	-32.89473327948537
0.0	1.5000000000000004	737796.0	-31.52253311347743
0.0	1.5000000000000004	737793.0	-33.90302487183904
0.0	1.5000000000000004	737790.0	-33.920716265662264
0.0	1.5000000000000004	737787.0	-32.48123119992836
0.0	1.5000000000000004	737784.0	-33.88553235559205
0.0	1.5000000000000004	737781.0	-32.70227625063859
0.0	1.5000000000000004	737778.0	-34.240565704181684
