timestart	R0	mean_logL	sim_no
737760.0	1.0		10
737760.0	1.1	-41.25144299639096	10
737760.0	1.2	-41.06918505329922	10
737760.0	1.3	-36.014214817747	10
737760.0	1.4	-34.88481940114845	10
737760.0	1.5	-34.42295220982568	10
737760.0	1.6	-34.6776275989384	10
737760.0	1.7	-37.67802942106938	10
737760.0	1.8	-37.595505977287495	10
737760.0	1.9	-45.00111956512848	10
737760.0	2.0	-105.35990186012778	10
737760.0	2.1	-45.12818092191586	10
737760.0	2.2	-128.83508619448543	10
737760.0	2.3	-138.49355164553612	10
737760.0	2.4	-138.71645044822512	10
737763.0	1.0		10
737763.0	1.1	-45.20201862678487	10
737763.0	1.2	-40.80333195617091	10
737763.0	1.3	-36.69843081351611	10
737763.0	1.4	-35.593603962943895	10
737763.0	1.5	-34.10160121974381	10
737763.0	1.6	-34.11811443043204	10
737763.0	1.7	-38.99209446700552	10
737763.0	1.8	-35.82260125539692	10
737763.0	1.9	-38.08819050159736	10
737763.0	2.0	-74.69904608812615	10
737763.0	2.1	-41.21046844887665	10
737763.0	2.2	-82.62384455686541	10
737763.0	2.3	-89.90569259196846	10
737763.0	2.4	-141.973517188421	10
737766.0	1.0		10
737766.0	1.1	-44.60921651572747	10
737766.0	1.2	-39.290591692188094	10
737766.0	1.3	-36.81831364439897	10
737766.0	1.4	-35.98605929140977	10
737766.0	1.5	-35.36937296871302	10
737766.0	1.6	-34.28296395699956	10
737766.0	1.7	-34.44801835704794	10
737766.0	1.8	-37.90207075556807	10
737766.0	1.9	-39.21682324550608	10
737766.0	2.0	-47.13143526015979	10
737766.0	2.1	-53.04208411771232	10
737766.0	2.2	-49.32969847394219	10
737766.0	2.3	-177.55081667797563	10
737766.0	2.4	-144.26009259102682	10
737769.0	1.0		10
737769.0	1.1	-47.18351744524283	10
737769.0	1.2	-38.46225670211576	10
737769.0	1.3	-37.81698876537362	10
737769.0	1.4	-35.80901556921589	10
737769.0	1.5	-34.2797865586122	10
737769.0	1.6	-33.60473614150162	10
737769.0	1.7	-33.40593360072366	10
737769.0	1.8	-35.38638256992811	10
737769.0	1.9	-34.3894934202109	10
737769.0	2.0	-48.0752867752956	10
737769.0	2.1	-54.995027615582146	10
737769.0	2.2	-52.99879829887527	10
737769.0	2.3	-93.82501408357246	10
737769.0	2.4	-167.4565627383697	10
737772.0	1.0		10
737772.0	1.1	-46.52275847709579	10
737772.0	1.2	-40.183634852440676	10
737772.0	1.3	-36.95734262959459	10
737772.0	1.4	-36.04086837805301	10
737772.0	1.5	-34.23049166272199	10
737772.0	1.6	-33.60404247757533	10
737772.0	1.7	-33.68950606644657	10
737772.0	1.8	-34.89481145125551	10
737772.0	1.9	-33.14618118922599	10
737772.0	2.0	-40.160539937035175	10
737772.0	2.1	-35.77840653388259	10
737772.0	2.2	-55.79019382905544	10
737772.0	2.3	-65.3362697425962	10
737772.0	2.4	-75.28522482065051	10
737775.0	1.0		10
737775.0	1.1	-42.7598404131828	10
737775.0	1.2	-39.98262098839041	10
737775.0	1.3	-37.012765690074175	10
737775.0	1.4	-35.18073673120287	10
737775.0	1.5	-34.312048164577064	10
737775.0	1.6	-33.99447905856657	10
737775.0	1.7	-32.59516699625266	10
737775.0	1.8	-33.28278117086507	10
737775.0	1.9	-36.7322252482529	10
737775.0	2.0	-33.072499933300804	10
737775.0	2.1	-34.54073415990221	10
737775.0	2.2	-56.78523334106295	10
737775.0	2.3	-39.133493876070006	10
737775.0	2.4	-68.34623958459585	10
737775.0	2.5	-58.76569958410835	9
737778.0	1.0		10
737778.0	1.1	-45.34594884562712	10
737778.0	1.2	-38.40016832666163	10
737778.0	1.3	-36.75568842754929	10
737778.0	1.4	-33.97586018983042	10
737778.0	1.5	-33.68184641583055	10
737778.0	1.6	-33.23685015173593	10
737778.0	1.7	-32.88303936036296	10
737778.0	1.8	-32.37032411177866	10
737778.0	1.9	-31.846710693055037	10
737778.0	2.0	-35.39805680716525	10
737778.0	2.1	-36.33111707334868	10
737778.0	2.2	-44.59859059717872	10
737778.0	2.3	-43.13505540555959	10
737778.0	2.4	-42.757360074729085	10
737778.0	2.5		10
737778.0	2.6	-83.27330832763428	10
737778.0	2.7	-46.22471773316085	2
737781.0	1.0		10
737781.0	1.1	-46.54127362816752	10
737781.0	1.2	-40.42656357022457	10
737781.0	1.3	-36.601744589824605	10
737781.0	1.4	-34.7504518290321	10
737781.0	1.5	-33.49135320745173	10
737781.0	1.6	-32.742630610051364	10
737781.0	1.7	-32.504897730298026	10
737781.0	1.8	-32.55924576710964	10
737781.0	1.9	-33.00547130794762	10
737781.0	2.0	-33.81678306569397	10
737781.0	2.1	-33.478505066473666	10
737781.0	2.2	-46.935458678266535	10
737781.0	2.3	-33.40585629718943	10
737781.0	2.4	-62.05708056195359	10
737781.0	2.5	-60.25703162226527	10
737781.0	2.6	-50.72433918170781	10
737781.0	2.7	-72.25919880477996	10
737784.0	1.0		10
737784.0	1.1	-47.03763757068428	10
737784.0	1.2	-39.47274770439948	10
737784.0	1.3	-37.06900025185756	10
737784.0	1.4	-34.52454026687009	10
737784.0	1.5	-33.7943786257114	10
737784.0	1.6	-32.71922673364436	10
737784.0	1.7	-33.23948701391707	10
737784.0	1.8	-31.778826581889156	10
737784.0	1.9	-31.743355471187545	10
737784.0	2.0	-31.669875412837207	10
737784.0	2.1	-32.05022487974944	10
737784.0	2.2	-32.05011540507153	10
737784.0	2.3	-32.85660452430015	10
737784.0	2.4	-41.22640647333079	10
737784.0	2.5	-47.0939265061354	10
737784.0	2.6	-52.06459522818558	10
737784.0	2.7	-49.6702630958857	10
737784.0	2.8	-61.610235405553304	10
737784.0	2.9	-68.90016259453563	4
737787.0	1.0		10
737787.0	1.1	-47.12268227359642	10
737787.0	1.2	-41.31957117177765	10
737787.0	1.3	-36.62217994036335	10
737787.0	1.4	-34.87466131303573	10
737787.0	1.5	-33.498797623259364	10
737787.0	1.6	-32.27688781816867	10
737787.0	1.7	-32.388558677672194	10
737787.0	1.8	-32.14221727826501	10
737787.0	1.9	-32.46526720057953	10
737787.0	2.0	-31.323121994767877	10
737787.0	2.1	-32.67223540771113	10
737787.0	2.2	-33.390634324663374	10
737787.0	2.3	-31.50024682727066	10
737787.0	2.4	-33.61212047516006	10
737787.0	2.5	-32.9011692860407	10
737787.0	2.6	-54.15680450306578	10
737787.0	2.7	-39.57206409220539	10
737787.0	2.8	-50.64889209854991	10
737787.0	2.9	-66.18733487475774	10
737787.0	3.0	-89.89261904717068	10
737787.0	3.1	-95.20357724062504	4
737787.0	3.2	-93.60447232112386	2
737787.0	3.3	-51.65333465672016	2
737787.0	3.4	-34.50604331741914	2
737787.0	3.5	-63.43182424770192	2
737787.0	3.6	-353.09636605186023	1
737787.0	3.7	-120.06438134455028	1
737790.0	1.0		10
737790.0	1.1	-53.0443451947577	10
737790.0	1.2	-40.170262006778465	10
737790.0	1.3	-38.06903572084719	10
737790.0	1.4	-34.9816577948455	10
737790.0	1.5	-32.90154680949139	10
737790.0	1.6	-32.55755867016849	10
737790.0	1.7	-31.698761756983675	10
737790.0	1.8	-31.797248840590612	10
737790.0	1.9	-31.462242471095784	10
737790.0	2.0	-31.442509627241726	10
737790.0	2.1	-31.711187973894283	10
737790.0	2.2	-31.406370731564607	10
737790.0	2.3	-32.382109077209684	10
737790.0	2.4	-37.90270555802016	10
737790.0	2.5	-32.646611844634286	10
737790.0	2.6	-34.93708415038223	10
737790.0	2.7	-34.05078034265515	10
737790.0	2.8	-64.44015009609754	10
737790.0	2.9		10
737790.0	3.0	-65.57648625913814	10
737790.0	3.1	-63.96569527492036	10
737790.0	3.2	-63.35907099987052	9
737790.0	3.3	-84.39792605760285	8
737790.0	3.4	-64.54648250311615	5
737790.0	3.5	-43.49642664517678	5
737790.0	3.6	-122.40716868621128	4
737790.0	3.7	-117.53828489018663	3
737790.0	3.8	-48.960769091239804	3
737790.0	3.9	-167.17029283893143	3
737793.0	1.0		10
737793.0	1.1	-50.58144082021953	10
737793.0	1.2	-42.87546010400437	10
737793.0	1.3	-36.12518745281609	10
737793.0	1.4	-34.919565752002676	10
737793.0	1.5	-32.64797570785655	10
737793.0	1.6	-32.0339584336515	10
737793.0	1.7	-31.748244669792843	10
737793.0	1.8	-31.00562086424277	10
737793.0	1.9	-31.022137524212184	10
737793.0	2.0	-31.76357185115895	10
737793.0	2.1	-30.83625968839193	10
737793.0	2.2	-33.59847366867574	10
737793.0	2.3	-32.60099109411686	10
