	t	genotype	recovered_window
0	8.3	4.0	12.0
1	9.0	0.0	12.0
2	9.2	0.0	12.0
3	9.9	0.0	12.0
4	10.2	2.0	12.0
5	10.9	17.0	12.0
6	9.9	0.0	12.0
7	10.3	0.0	12.0
8	9.0	2.0	12.0
9	9.0	0.0	12.0
10	10.1	0.0	12.0
11	11.1	0.0	12.0
12	8.7	2.0	12.0
13	9.1	0.0	12.0
14	10.9	24.0	12.0
15	11.5	24.0	12.0
16	10.5	29.0	12.0
17	12.0	24.0	12.0
18	10.0	0.0	12.0
19	9.4	2.0	12.0
20	9.6	0.0	12.0
21	9.2	0.0	12.0
22	11.3	24.0	12.0
23	9.1	19.0	12.0
24	12.0	0.0	12.0
25	12.0	0.0	12.0
26	11.9	31.0	12.0
27	11.5	24.0	12.0
28	9.4	0.0	12.0
29	8.9	20.0	12.0
30	11.1	0.0	12.0
31	10.8	0.0	12.0
32	8.9	0.0	12.0
33	9.8	0.0	12.0
34	10.9	0.0	12.0
35	11.3	0.0	12.0
36	10.8	24.0	12.0
37	9.6	0.0	12.0
38	10.2	0.0	12.0
39	8.8	0.0	12.0
0	14.3	0.0	16.0
1	13.7	2.0	16.0
2	14.2	25.0	16.0
3	14.3	0.0	16.0
4	13.1	12.0	16.0
5	15.4	45.0	16.0
6	14.2	2.0	16.0
7	13.5	2.0	16.0
8	14.9	0.0	16.0
9	13.1	0.0	16.0
10	15.3	0.0	16.0
11	12.7	0.0	16.0
12	12.9	0.0	16.0
13	12.8	0.0	16.0
14	12.5	0.0	16.0
15	15.7	24.0	16.0
16	15.2	26.0	16.0
17	14.6	40.0	16.0
18	12.7	27.0	16.0
19	14.2	24.0	16.0
20	12.7	0.0	16.0
21	12.2	0.0	16.0
22	14.0	16.0	16.0
23	13.7	24.0	16.0
24	16.0	32.0	16.0
25	14.2	24.0	16.0
26	14.1	0.0	16.0
27	15.5	0.0	16.0
28	13.4	24.0	16.0
29	12.8	0.0	16.0
30	13.7	0.0	16.0
31	12.1	0.0	16.0
32	12.6	0.0	16.0
33	13.9	0.0	16.0
34	15.6	0.0	16.0
35	12.4	0.0	16.0
36	15.8	0.0	16.0
37	14.8	37.0	16.0
38	12.6	24.0	16.0
39	15.0	0.0	16.0
0	19.1	26.0	20.0
1	18.8	0.0	20.0
2	20.0	76.0	20.0
3	19.4	75.0	20.0
4	16.4	0.0	20.0
5	16.3	0.0	20.0
6	18.7	0.0	20.0
7	19.9	0.0	20.0
8	17.8	0.0	20.0
9	19.4	72.0	20.0
10	16.5	0.0	20.0
11	18.9	24.0	20.0
12	18.3	24.0	20.0
13	17.1	24.0	20.0
14	19.0	44.0	20.0
15	19.5	24.0	20.0
16	16.1	26.0	20.0
17	18.5	26.0	20.0
18	17.4	55.0	20.0
19	16.3	0.0	20.0
20	17.4	26.0	20.0
21	18.5	74.0	20.0
22	18.6	24.0	20.0
23	16.6	0.0	20.0
24	19.3	24.0	20.0
25	19.8	26.0	20.0
26	17.4	24.0	20.0
27	16.8	26.0	20.0
28	16.5	0.0	20.0
29	16.4	0.0	20.0
30	19.0	24.0	20.0
31	19.5	35.0	20.0
32	16.8	0.0	20.0
33	20.0	0.0	20.0
34	19.8	0.0	20.0
35	17.6	13.0	20.0
36	17.3	61.0	20.0
37	17.4	0.0	20.0
38	18.7	26.0	20.0
39	16.8	0.0	20.0
0	23.8	0.0	24.0
1	23.8	37.0	24.0
2	22.4	91.0	24.0
3	23.5	90.0	24.0
4	23.8	42.0	24.0
5	21.6	0.0	24.0
6	23.5	0.0	24.0
7	21.6	0.0	24.0
8	23.9	0.0	24.0
9	23.6	0.0	24.0
10	20.6	51.0	24.0
11	21.1	0.0	24.0
12	20.3	51.0	24.0
13	22.4	0.0	24.0
14	23.0	99.0	24.0
15	21.4	0.0	24.0
16	20.1	0.0	24.0
17	22.4	26.0	24.0
18	21.0	51.0	24.0
19	20.5	0.0	24.0
20	20.2	0.0	24.0
21	22.5	26.0	24.0
22	22.4	0.0	24.0
23	22.9	50.0	24.0
24	22.2	0.0	24.0
25	20.6	69.0	24.0
26	23.3	0.0	24.0
27	20.4	0.0	24.0
28	22.7	0.0	24.0
29	22.0	0.0	24.0
30	23.1	24.0	24.0
31	23.8	0.0	24.0
32	22.3	70.0	24.0
33	23.7	65.0	24.0
34	22.7	0.0	24.0
35	22.3	0.0	24.0
36	22.8	69.0	24.0
37	20.9	24.0	24.0
38	21.9	0.0	24.0
39	22.2	0.0	24.0
0	28.0	156.0	28.0
1	26.9	0.0	28.0
2	26.1	0.0	28.0
3	25.8	0.0	28.0
4	25.7	0.0	28.0
5	25.7	0.0	28.0
6	27.9	147.0	28.0
7	26.2	50.0	28.0
8	24.2	53.0	28.0
9	27.7	64.0	28.0
10	25.4	0.0	28.0
11	25.8	89.0	28.0
12	27.6	112.0	28.0
13	24.1	0.0	28.0
14	27.6	0.0	28.0
15	26.5	0.0	28.0
16	25.2	0.0	28.0
17	25.3	0.0	28.0
18	27.3	0.0	28.0
19	27.5	83.0	28.0
20	24.9	0.0	28.0
21	28.0	53.0	28.0
22	25.1	83.0	28.0
23	27.8	95.0	28.0
24	25.8	0.0	28.0
25	27.5	0.0	28.0
26	26.4	68.0	28.0
27	24.8	0.0	28.0
28	24.2	83.0	28.0
29	27.5	0.0	28.0
30	24.2	0.0	28.0
31	25.0	47.0	28.0
32	24.8	0.0	28.0
33	25.3	51.0	28.0
34	24.1	53.0	28.0
35	26.4	0.0	28.0
36	26.5	0.0	28.0
37	27.6	83.0	28.0
38	28.0	83.0	28.0
39	26.7	53.0	28.0
0	31.9	269.0	32.0
1	28.3	136.0	32.0
2	32.0	254.0	32.0
3	30.2	189.0	32.0
4	30.9	136.0	32.0
5	29.8	83.0	32.0
6	28.9	135.0	32.0
7	30.8	0.0	32.0
8	30.2	83.0	32.0
9	31.6	0.0	32.0
10	31.7	0.0	32.0
11	30.5	107.0	32.0
12	31.3	0.0	32.0
13	30.9	0.0	32.0
14	30.1	222.0	32.0
15	29.2	24.0	32.0
16	31.4	83.0	32.0
17	30.3	0.0	32.0
18	31.6	0.0	32.0
19	29.2	160.0	32.0
20	32.0	95.0	32.0
21	31.0	0.0	32.0
22	29.3	169.0	32.0
23	29.2	83.0	32.0
24	29.9	136.0	32.0
25	31.1	83.0	32.0
26	31.7	95.0	32.0
27	30.3	0.0	32.0
28	29.9	0.0	32.0
29	28.2	0.0	32.0
30	31.2	24.0	32.0
31	28.5	163.0	32.0
32	30.2	0.0	32.0
33	30.4	83.0	32.0
34	30.4	0.0	32.0
35	29.9	83.0	32.0
36	28.3	0.0	32.0
37	31.3	224.0	32.0
38	31.4	0.0	32.0
39	29.2	177.0	32.0
0	33.9	0.0	36.0
1	32.1	0.0	36.0
2	33.8	177.0	36.0
3	35.2	164.0	36.0
4	34.4	0.0	36.0
5	34.6	213.0	36.0
6	34.3	182.0	36.0
7	34.0	88.0	36.0
8	34.9	219.0	36.0
9	32.3	0.0	36.0
10	35.6	83.0	36.0
11	34.8	83.0	36.0
12	32.8	95.0	36.0
13	32.2	129.0	36.0
