	t	genotype	recovered_window
0	29.0	5.0	32.0
1	29.9	0.0	32.0
2	31.6	5.0	32.0
3	28.9	0.0	32.0
4	30.8	0.0	32.0
5	30.0	0.0	32.0
6	29.3	0.0	32.0
7	31.1	0.0	32.0
8	28.7	5.0	32.0
9	31.2	37.0	32.0
10	31.7	0.0	32.0
11	30.3	19.0	32.0
12	31.3	0.0	32.0
13	30.5	0.0	32.0
14	31.9	0.0	32.0
15	31.9	19.0	32.0
16	29.5	5.0	32.0
17	31.4	0.0	32.0
18	29.5	0.0	32.0
19	28.7	0.0	32.0
20	28.2	27.0	32.0
21	28.4	0.0	32.0
22	30.9	40.0	32.0
23	28.4	0.0	32.0
24	28.9	15.0	32.0
25	29.3	0.0	32.0
26	31.1	0.0	32.0
27	28.5	8.0	32.0
28	32.0	0.0	32.0
29	31.6	33.0	32.0
30	30.8	31.0	32.0
31	28.1	22.0	32.0
32	29.6	25.0	32.0
33	28.5	0.0	32.0
34	29.7	0.0	32.0
35	28.3	19.0	32.0
36	30.0	0.0	32.0
37	31.6	0.0	32.0
38	30.1	0.0	32.0
39	29.7	22.0	32.0
0	33.3	0.0	36.0
1	35.6	5.0	36.0
2	34.3	25.0	36.0
3	33.9	0.0	36.0
4	32.2	5.0	36.0
5	32.4	0.0	36.0
6	35.2	60.0	36.0
7	35.7	0.0	36.0
8	35.7	48.0	36.0
9	32.7	0.0	36.0
10	34.4	57.0	36.0
11	34.8	33.0	36.0
12	35.5	19.0	36.0
13	34.5	19.0	36.0
14	33.0	0.0	36.0
15	33.6	0.0	36.0
16	34.7	69.0	36.0
17	35.9	19.0	36.0
18	34.3	67.0	36.0
19	35.6	0.0	36.0
20	34.2	41.0	36.0
21	32.8	0.0	36.0
22	35.3	39.0	36.0
23	35.4	61.0	36.0
24	35.7	62.0	36.0
25	32.7	34.0	36.0
26	33.3	0.0	36.0
27	33.7	0.0	36.0
28	34.3	0.0	36.0
29	35.8	33.0	36.0
30	33.8	0.0	36.0
31	33.3	0.0	36.0
32	36.0	5.0	36.0
33	34.8	0.0	36.0
34	34.7	0.0	36.0
