window	n	s	window_end	n_recovered_in_win	clade
1	2.0	0.0	8.0	2.0	0
2	4.0	0.0	12.0	4.0	0
3	5.0	0.0	16.0	5.0	0
4	5.0	3.0	20.0	5.0	0
5	18.0	2.0	24.0	18.0	0
6	13.0	1.0	28.0	13.0	0
7	25.0	4.0	32.0	25.0	0
8	34.0	6.0	36.0	34.0	0
9	42.0	10.0	40.0	42.0	0
10	61.0	23.0	44.0	61.0	0
11	97.0	38.0	48.0	97.0	0
12	143.0	60.0	52.0	143.0	0
13	211.0	76.0	56.0	211.0	0
14	271.0	102.0	60.0	271.0	0
15	387.0	135.0	64.0	387.0	0
16	614.0	215.0	68.0	614.0	0
17	829.0	295.0	72.0	829.0	0
18	1324.0	497.0	76.0	1324.0	0
19	1844.0	692.0	80.0	1844.0	0
20	2633.0	968.0	84.0	2633.0	0
21	3596.0	1461.0	88.0	3596.0	0
22	4686.0	1884.0	92.0	4686.0	0
23	5595.0	2439.0	96.0	5595.0	0
24	6268.0	2907.0	100.0	6268.0	0
25	6541.0	3221.0	104.0	6541.0	0
26	6207.0	3352.0	108.0	6207.0	0
27	5489.0	3315.0	112.0	5489.0	0
28	4446.0	3049.0	116.0	4446.0	0
29	3383.0	2617.0	120.0	3383.0	0
30	2641.0	2276.0	124.0	2641.0	0
31	1836.0	1815.0	128.0	1836.0	0
32	1374.0	1523.0	132.0	1374.0	0
33	969.0	1202.0	136.0	969.0	0
34	661.0	952.0	140.0	661.0	0
35	469.0	674.0	144.0	469.0	0
36	355.0	528.0	148.0	355.0	0
37	208.0	351.0	152.0	208.0	0
38	143.0	272.0	156.0	143.0	0
39	90.0	225.0	160.0	90.0	0
40	72.0	147.0	164.0	72.0	0
41	43.0	117.0	168.0	43.0	0
42	21.0	48.0	172.0	21.0	0
43	15.0	45.0	176.0	15.0	0
44	10.0	32.0	180.0	10.0	0
45	6.0	28.0	184.0	6.0	0
46	5.0	16.0	188.0	5.0	0
47	3.0	15.0	192.0	3.0	0
48	2.0	12.0	196.0	2.0	0
