	t	genotype	recovered_window
0	61.4	121.0	62.0
1	60.3	0.0	62.0
0	62.7	187.0	66.0
1	65.2	15.0	66.0
2	62.5	4.0	66.0
3	65.9	134.0	66.0
0	67.2	201.0	70.0
0	74.4	26.0	78.0
1	76.9	155.0	78.0
2	75.0	466.0	78.0
0	78.5	279.0	82.0
1	80.3	903.0	82.0
2	78.6	16.0	82.0
0	84.8	172.0	86.0
1	83.3	26.0	86.0
2	85.0	400.0	86.0
0	87.3	2708.0	90.0
1	86.2	589.0	90.0
2	90.0	1782.0	90.0
3	88.7	806.0	90.0
4	87.1	711.0	90.0
5	88.9	1499.0	90.0
0	93.5	2953.0	94.0
1	92.1	15.0	94.0
2	93.7	937.0	94.0
3	91.0	1436.0	94.0
4	92.9	1576.0	94.0
5	93.2	3530.0	94.0
6	93.1	1687.0	94.0
7	90.3	968.0	94.0
8	94.0	2478.0	94.0
0	97.6	4315.0	98.0
1	94.7	981.0	98.0
2	97.7	16.0	98.0
3	96.2	0.0	98.0
4	96.6	142.0	98.0
5	97.9	201.0	98.0
6	95.1	1654.0	98.0
7	97.8	2822.0	98.0
8	95.4	881.0	98.0
9	94.6	3108.0	98.0
10	94.9	2235.0	98.0
0	98.6	2143.0	102.0
1	100.1	0.0	102.0
2	98.2	5345.0	102.0
3	99.9	197.0	102.0
4	99.4	2935.0	102.0
5	100.0	1627.0	102.0
6	100.2	2288.0	102.0
7	98.5	3038.0	102.0
0	105.6	7851.0	106.0
1	105.3	9.0	106.0
2	103.6	1699.0	106.0
3	103.4	6241.0	106.0
4	102.7	3835.0	106.0
5	104.3	2076.0	106.0
6	104.1	201.0	106.0
7	104.7	6368.0	106.0
0	109.7	8435.0	110.0
1	109.8	7210.0	110.0
2	106.9	5697.0	110.0
3	109.5	5852.0	110.0
4	106.9	60.0	110.0
5	107.1	3884.0	110.0
6	110.0	7461.0	110.0
7	106.2	549.0	110.0
8	107.5	6928.0	110.0
9	106.3	4874.0	110.0
10	109.8	8250.0	110.0
11	106.3	1460.0	110.0
12	106.1	716.0	110.0
13	109.4	4.0	110.0
14	109.0	6372.0	110.0
0	110.4	5948.0	114.0
1	113.1	6636.0	114.0
2	110.7	6862.0	114.0
3	113.6	8276.0	114.0
4	112.9	4374.0	114.0
5	112.0	1797.0	114.0
6	112.3	218.0	114.0
7	113.0	1158.0	114.0
0	117.1	253.0	118.0
1	116.3	10102.0	118.0
2	116.9	7900.0	118.0
0	118.1	5267.0	122.0
1	121.9	2149.0	122.0
0	123.4	1045.0	126.0
1	125.2	164.0	126.0
2	123.3	197.0	126.0
3	123.4	1692.0	126.0
4	126.0	7602.0	126.0
5	125.4	10690.0	126.0
0	128.9	8868.0	130.0
1	129.1	4029.0	130.0
2	129.5	10676.0	130.0
0	132.9	10596.0	134.0
1	132.3	10552.0	134.0
0	134.9	11083.0	138.0
0	142.2	10841.0	146.0
0	157.1	11508.0	158.0
