R0	timestart	mean_logL	sim_no
1.0	-50.0	-224.465301825783	20
1.0	-48.0	-266.1171665896037	20
1.0	-46.0	-216.0614223737072	20
1.0	-44.0	-235.22342817230114	20
1.0	-42.0	-235.46804057336445	20
1.0	-40.0		20
1.0	-38.0		20
1.0	-36.0	-250.54294894704412	20
1.0	-34.0	-240.10723716588527	20
1.0	-32.0	-248.18288183962758	20
1.0	-30.0	-239.93287677838288	20
1.0	-28.0	-237.49074517009726	20
1.0	-26.0	-231.3307122200847	20
1.0	-24.0	-257.4019796103958	20
1.0	-22.0	-253.00266538701743	20
1.0	-20.0	-243.7388800047203	20
1.0	-18.0	-281.61277550293505	20
1.0	-16.0	-277.9917115374207	20
1.0	-14.0		20
1.0	-12.0		20
1.0	-10.0		20
1.0	-8.0	-278.1930627130577	20
1.0	-6.0	-273.8090035162843	20
1.0	-4.0		20
1.0	-2.0		20
1.0	0.0	-265.9438113239489	20
1.0	2.0		20
1.0	4.0		20
1.0	6.0		20
1.0	8.0		20
1.0	10.0		20
1.0	12.0		20
1.0	14.0		20
1.0	16.0		20
1.0	18.0		20
1.0	20.0		20
1.0	22.0		20
1.0	24.0		20
1.0	26.0		20
1.0	28.0		20
1.0	30.0		20
1.0	32.0		20
1.0	34.0		20
1.0	36.0		20
1.1	-50.0	-108.92912193592046	20
1.1	-48.0	-105.16742541055812	20
1.1	-46.0	-113.36225174909994	20
1.1	-44.0	-108.0237090261501	20
1.1	-42.0	-116.37311673722627	20
1.1	-40.0	-116.37288101255258	20
1.1	-38.0	-114.61273859623986	20
1.1	-36.0	-110.38411628490607	20
1.1	-34.0	-111.96764610592331	20
1.1	-32.0	-115.30823581588406	20
1.1	-30.0	-116.56493632199928	20
1.1	-28.0	-115.69814353219253	20
1.1	-26.0	-125.2804817616715	20
1.1	-24.0	-124.82446720840248	20
1.1	-22.0	-121.9373749935633	20
1.1	-20.0	-129.04734038885186	20
1.1	-18.0	-129.93005124154743	20
1.1	-16.0	-142.21507023428293	20
1.1	-14.0	-139.33504654706067	20
1.1	-12.0	-139.2185360543073	20
1.1	-10.0	-139.20866197979836	20
1.1	-8.0	-145.6486777945053	20
1.1	-6.0	-150.25285758470315	20
1.1	-4.0	-167.05930886164066	20
1.1	-2.0	-162.20036587809463	20
1.1	0.0	-171.54218980264437	20
1.1	2.0	-174.48872326256875	20
1.1	4.0	-148.97513693513554	20
1.1	6.0	-185.08481267777287	20
1.1	8.0	-168.6246490001906	20
1.1	10.0	-173.83961097915622	20
1.1	12.0	-196.66184763887742	20
1.1	14.0	-207.29688554825708	20
1.1	16.0	-193.5080430578734	20
1.1	18.0	-212.25420499797656	20
1.1	20.0	-217.763038196577	20
1.1	22.0	-224.09499593998171	20
1.1	24.0	-253.83493145303788	20
1.1	26.0		20
1.1	28.0	-287.6902753465146	20
1.1	30.0	-254.57979954038674	20
1.1	32.0	-326.1158888163039	20
1.1	34.0	-278.98564295080206	20
1.1	36.0		20
1.2	-50.0	-83.97254510250858	20
1.2	-48.0	-84.64055756958322	20
1.2	-46.0	-85.02179963121449	20
1.2	-44.0	-85.20723055566273	20
1.2	-42.0	-83.82704334921368	20
1.2	-40.0	-84.37898615658014	20
1.2	-38.0	-85.40361541643962	20
1.2	-36.0	-84.7291533458716	20
1.2	-34.0	-84.54625722915095	20
1.2	-32.0	-84.68377637220534	20
1.2	-30.0	-85.403381730258	20
1.2	-28.0	-86.64180201978738	20
1.2	-26.0	-86.25840026678812	20
1.2	-24.0	-85.38084777876274	20
1.2	-22.0	-84.99005167465455	20
1.2	-20.0	-88.21642752995557	20
1.2	-18.0	-87.66526028020822	20
1.2	-16.0	-88.49510526586769	20
1.2	-14.0	-87.8441769026312	20
1.2	-12.0	-89.55051166994741	20
1.2	-10.0	-92.02427734442853	20
1.2	-8.0	-97.13913874261583	20
1.2	-6.0	-96.01625692548228	20
1.2	-4.0	-94.84031874789527	20
1.2	-2.0	-96.7440849112397	20
1.2	0.0	-99.18650668011878	20
1.2	2.0	-102.2806090519023	20
1.2	4.0	-108.36839416496602	20
1.2	6.0	-106.95410587489717	20
1.2	8.0	-113.93513312231471	20
1.2	10.0	-117.27390010914925	20
1.2	12.0	-122.73803907193158	20
1.2	14.0	-123.39077144645016	20
1.2	16.0	-130.9149824035122	20
1.2	18.0	-143.0699423396	20
1.2	20.0	-138.25271312080966	20
1.2	22.0	-149.85178700772963	20
1.2	24.0	-160.4064118365547	20
1.2	26.0	-160.14867358994485	20
1.2	28.0	-167.26139688022369	20
1.2	30.0	-189.1459315020108	20
1.2	32.0	-206.29466268767533	20
1.2	34.0	-205.68626079031077	20
1.2	36.0		20
1.3	-50.0	-81.68084428510466	20
1.3	-48.0	-81.87395097997242	20
1.3	-46.0	-81.66561730445883	20
1.3	-44.0	-81.70547182898915	20
1.3	-42.0	-81.38903579400362	20
1.3	-40.0	-81.1307703519041	20
1.3	-38.0	-81.25535236816991	20
1.3	-36.0	-81.2397669207888	20
1.3	-34.0	-80.53862652878934	20
1.3	-32.0	-80.68231417826925	20
1.3	-30.0	-80.27478755563193	20
1.3	-28.0	-80.43369213227993	20
1.3	-26.0	-80.65056024990528	20
1.3	-24.0	-80.75340658561413	20
1.3	-22.0	-79.90501896726848	20
1.3	-20.0	-80.1064310260779	20
1.3	-18.0	-80.2180947053644	20
1.3	-16.0	-80.16726301184347	20
1.3	-14.0	-80.8903708939559	20
1.3	-12.0	-80.7139765968717	20
1.3	-10.0	-80.90888439226839	20
1.3	-8.0	-81.35059828800146	20
1.3	-6.0	-80.85909628734102	20
1.3	-4.0	-81.38161465979695	20
1.3	-2.0	-82.11206499360338	20
1.3	0.0	-83.77357042302043	20
1.3	2.0	-83.16281126871003	20
1.3	4.0	-85.43360046111256	20
1.3	6.0	-85.85792722117282	20
1.3	8.0	-87.42926409093191	20
1.3	10.0	-89.23099185887055	20
1.3	12.0	-92.77053753309372	20
1.3	14.0	-93.26520296276678	20
1.3	16.0	-96.29113721731869	20
1.3	18.0	-102.97443083990886	20
1.3	20.0	-102.71479618951746	20
1.3	22.0	-107.23892057937549	20
1.3	24.0	-109.15863684281153	20
1.3	26.0	-118.38010423949838	20
1.3	28.0	-125.06470084537946	20
