n_iter	R0	timestart	llh
0.0	1.1	2.0	-148.42043160582523
0.0	1.1	0.0	-199.31332713844927
0.0	1.1	-2.0	-193.24808397098292
0.0	1.1	-4.0	-225.8024200144238
0.0	1.1	-6.0	-155.03575630616538
0.0	1.1	-8.0	-133.34377740632652
0.0	1.1	-10.0	-148.20869493532473
0.0	1.1	-12.0	-169.90120026969618
0.0	1.1	-14.0	-104.38058203364899
0.0	1.1	-16.0	-158.8183127174552
0.0	1.1	-18.0	-120.32225983448043
0.0	1.1	-20.0	-126.9114290415691
0.0	1.1	-22.0	-161.71366521016165
0.0	1.1	-24.0	-106.66151826454968
0.0	1.1	-26.0	-116.95427707704583
0.0	1.1	-28.0	-132.63910320421806
0.0	1.1	-30.0	-154.2043212033841
0.0	1.1	-32.0	-104.28954088480575
0.0	1.1	-34.0	-90.13566595135491
0.0	1.1	-36.0	-119.66905831949549
0.0	1.1	-38.0	-93.30010786967476
0.0	1.1	-40.0	-114.76966428537109
0.0	1.1	-42.0	-112.15996241904082
0.0	1.1	-44.0	-93.58531514433562
0.0	1.1	-46.0	-142.31318393827885
0.0	1.1	-48.0	-103.95984034830948
0.0	1.1	-50.0	-108.18271193409164
0.0	1.3	30.0	-147.25813326678403
0.0	1.3	28.0	-123.46775611889495
0.0	1.3	26.0	-121.14256470040061
0.0	1.3	24.0	-108.25875198761862
0.0	1.3	22.0	-116.21241520955209
0.0	1.3	20.0	-97.38705213729372
0.0	1.3	18.0	-113.12048653861723
0.0	1.3	16.0	-101.69985963390889
0.0	1.3	14.0	-89.07293825599137
0.0	1.3	12.0	-83.01111596231208
0.0	1.3	10.0	-87.97305149267224
0.0	1.3	8.0	-92.05363745178094
0.0	1.3	6.0	-86.75312143611423
0.0	1.3	4.0	-82.7552246006904
0.0	1.3	2.0	-89.12385006406888
0.0	1.3	0.0	-88.61653781363191
0.0	1.3	-2.0	-81.70550469695894
0.0	1.3	-4.0	-81.38149651967683
0.0	1.3	-6.0	-81.33569254020394
0.0	1.3	-8.0	-85.73101350010919
0.0	1.3	-10.0	-81.73799377670827
0.0	1.3	-12.0	-84.73200538963927
0.0	1.3	-14.0	-80.48757500535446
0.0	1.3	-16.0	-79.47062537926638
0.0	1.3	-18.0	-80.33363403566216
0.0	1.3	-20.0	-80.6284043193075
0.0	1.3	-22.0	-78.3485748166103
0.0	1.3	-24.0	-80.97973151931399
0.0	1.3	-26.0	-80.03175992264295
0.0	1.3	-28.0	-81.86077973746467
0.0	1.3	-30.0	-80.12062002133344
0.0	1.3	-32.0	-82.27847322398455
0.0	1.3	-34.0	-79.6032020467867
0.0	1.3	-36.0	-81.74771935582558
0.0	1.3	-38.0	-83.66974943584162
0.0	1.3	-40.0	-81.85162078396253
0.0	1.3	-42.0	-80.16581757435567
0.0	1.3	-44.0	-81.810998889615
0.0	1.3	-46.0	-79.70202573212225
0.0	1.3	-48.0	-82.74350357979849
0.0	1.3	-50.0	-80.63691290142695
0.0	1.5	30.0	-90.9652110110557
0.0	1.5	28.0	-86.82100854251605
0.0	1.5	26.0	-85.92543867021588
0.0	1.5	24.0	-85.06855570907886
0.0	1.5	22.0	-82.75177328289001
0.0	1.5	20.0	-83.86524005343435
0.0	1.5	18.0	-81.1722950109685
0.0	1.5	16.0	-79.18187230730473
0.0	1.5	14.0	-78.03165497037799
0.0	1.5	12.0	-77.81697713502692
0.0	1.5	10.0	-77.84823718639885
0.0	1.5	8.0	-77.14590889381581
0.0	1.5	6.0	-77.477419621989
0.0	1.5	4.0	-78.42210006112714
0.0	1.5	2.0	-76.89607702300177
0.0	1.5	0.0	-76.95001666173114
0.0	1.5	-2.0	-77.37567307900395
0.0	1.5	-4.0	-78.37026117618441
0.0	1.5	-6.0	-78.45861068581098
0.0	1.5	-8.0	-78.93140365619247
0.0	1.5	-10.0	-78.87220990223297
0.0	1.5	-12.0	-78.26508871056683
0.0	1.5	-14.0	-78.43064866462495
0.0	1.5	-16.0	-77.8855876248685
0.0	1.5	-18.0	-79.89594920519629
0.0	1.5	-20.0	-80.81245775050833
0.0	1.5	-22.0	-79.37347831017033
0.0	1.5	-24.0	-78.0175699316438
0.0	1.5	-26.0	-79.87211766038541
0.0	1.5	-28.0	-80.95429244729635
0.0	1.5	-30.0	-79.02919161528375
0.0	1.5	-32.0	-81.78362884622928
0.0	1.5	-34.0	-83.01416109776216
0.0	1.5	-36.0	-90.03805317796946
0.0	1.5	-38.0	-84.56743415150021
0.0	1.5	-40.0	-87.83972764906123
0.0	1.5	-42.0	-80.61285405005067
0.0	1.5	-44.0	-123.97266618916774
0.0	1.5	-46.0	-112.78546705186935
0.0	1.5	-48.0	-85.75597777871384
0.0	1.5	-50.0	-106.10186498613143
0.0	1.7	30.0	-82.1515125950726
0.0	1.7	28.0	-79.43387908243898
0.0	1.7	26.0	-79.01562787483729
0.0	1.7	24.0	-78.20520921470964
0.0	1.7	22.0	-78.08577336492131
0.0	1.7	20.0	-77.7917459623198
0.0	1.7	18.0	-76.9712156965544
0.0	1.7	16.0	-76.70199712405966
0.0	1.7	14.0	-77.08820616708937
0.0	1.7	12.0	-76.98800761932837
0.0	1.7	10.0	-77.56407839229774
0.0	1.7	8.0	-76.8324900454519
0.0	1.7	6.0	-77.5513096559948
0.0	1.7	4.0	-77.56262789116897
