n_iter	R0	timestart	llh
0.0	1.1	30.0	-235.57073196630316
0.0	1.1	28.0	-222.07320861975128
0.0	1.1	26.0	-223.79932618838956
0.0	1.1	24.0	-349.5815756734542
0.0	1.1	22.0	-208.66988878728534
0.0	1.1	20.0	-217.41153949375584
0.0	1.1	18.0	-243.40442925522035
0.0	1.1	16.0	-166.57127627815424
0.0	1.1	14.0	-222.59842077625916
0.0	1.1	12.0	-201.1467733594887
0.0	1.1	10.0	-215.12969419103277
0.0	1.1	8.0	-204.3441918804329
0.0	1.1	6.0	-165.34071541561883
0.0	1.1	4.0	-110.93759321436931
0.0	1.1	2.0	-140.08186719735872
0.0	1.1	0.0	-164.47807100605382
0.0	1.1	-2.0	-150.25638917010954
0.0	1.1	-4.0	-147.4789859437178
0.0	1.1	-6.0	-144.51440055586198
0.0	1.1	-8.0	-163.0010636517822
0.0	1.1	-10.0	-174.94758930834885
0.0	1.1	-12.0	-132.23138780028725
0.0	1.1	-14.0	-115.83549057720793
0.0	1.1	-16.0	-200.77726564677658
0.0	1.1	-18.0	-120.30048026026407
0.0	1.1	-20.0	-155.73908042728428
0.0	1.1	-22.0	-114.58537509387067
0.0	1.1	-24.0	-100.9995156621738
0.0	1.1	-26.0	-100.0889155225626
0.0	1.1	-28.0	-91.62934565003845
0.0	1.1	-30.0	-111.43019554773349
0.0	1.1	-32.0	-150.18915082124892
0.0	1.1	-34.0	-96.8530482689076
0.0	1.1	-36.0	-101.35355448595551
0.0	1.1	-38.0	-129.11267607157276
0.0	1.1	-40.0	-129.32345216211502
0.0	1.1	-42.0	-98.88165477275717
0.0	1.1	-44.0	-104.81836968334568
0.0	1.1	-46.0	-115.34872039435022
0.0	1.1	-48.0	-134.4377023711814
0.0	1.1	-50.0	-103.6537864173686
0.0	1.3	30.0	-149.49902289662225
0.0	1.3	28.0	-105.28856385550966
0.0	1.3	26.0	-125.80600459386001
0.0	1.3	24.0	-109.10879965276806
0.0	1.3	22.0	-95.93058587867775
0.0	1.3	20.0	-112.02548072296457
0.0	1.3	18.0	-98.40707014293329
0.0	1.3	16.0	-98.11878834296344
0.0	1.3	14.0	-103.40454166065622
0.0	1.3	12.0	-85.03226781735611
0.0	1.3	10.0	-84.28804512894723
0.0	1.3	8.0	-81.95114917640245
0.0	1.3	6.0	-88.51730403048958
0.0	1.3	4.0	-93.92723353258513
0.0	1.3	2.0	-84.1804217656332
0.0	1.3	0.0	-85.38119292586467
0.0	1.3	-2.0	-80.61644565323544
0.0	1.3	-4.0	-79.99976778911696
0.0	1.3	-6.0	-81.73046458978472
0.0	1.3	-8.0	-79.35567005991886
0.0	1.3	-10.0	-81.55141628878908
0.0	1.3	-12.0	-80.11779670956084
0.0	1.3	-14.0	-79.38626333344367
0.0	1.3	-16.0	-79.55118452939983
0.0	1.3	-18.0	-79.77423583301463
0.0	1.3	-20.0	-80.07943948072372
0.0	1.3	-22.0	-81.9865490726062
0.0	1.3	-24.0	-79.70134573013613
0.0	1.3	-26.0	-80.04954916948589
0.0	1.3	-28.0	-80.38644905733
0.0	1.3	-30.0	-80.2960085082811
0.0	1.3	-32.0	-80.45780314909655
0.0	1.3	-34.0	-81.03164779420402
0.0	1.3	-36.0	-81.86190628042644
0.0	1.3	-38.0	-80.77849838582149
0.0	1.3	-40.0	-80.05275749105535
0.0	1.3	-42.0	-81.93484601724224
0.0	1.3	-44.0	-80.58995501279576
0.0	1.3	-46.0	-79.99230118299054
0.0	1.3	-48.0	-84.41468814357339
0.0	1.3	-50.0	-82.35023096398186
0.0	1.5	30.0	-94.9467359262769
0.0	1.5	28.0	-97.62888463226487
0.0	1.5	26.0	-94.72461774684832
0.0	1.5	24.0	-86.04343871793033
0.0	1.5	22.0	-80.50440906727043
0.0	1.5	20.0	-82.95045252406341
0.0	1.5	18.0	-79.79049663416019
0.0	1.5	16.0	-78.62335468840291
0.0	1.5	14.0	-79.620833235324
0.0	1.5	12.0	-77.82095037278438
0.0	1.5	10.0	-77.40527420254347
0.0	1.5	8.0	-77.77676093939345
0.0	1.5	6.0	-77.43975934800292
0.0	1.5	4.0	-77.32988786387519
0.0	1.5	2.0	-79.8017891522124
0.0	1.5	0.0	-77.89093617648008
0.0	1.5	-2.0	-77.75048546200847
0.0	1.5	-4.0	-78.28170251386392
0.0	1.5	-6.0	-78.32613336529278
0.0	1.5	-8.0	-77.80953866460291
0.0	1.5	-10.0	-79.57836980761745
0.0	1.5	-12.0	-77.73863601588623
0.0	1.5	-14.0	-78.9831992788936
0.0	1.5	-16.0	-79.31445259242227
0.0	1.5	-18.0	-79.93220246333848
0.0	1.5	-20.0	-79.99701277805359
0.0	1.5	-22.0	-78.61110338472604
0.0	1.5	-24.0	-79.49948269043942
0.0	1.5	-26.0	-83.56814813464453
0.0	1.5	-28.0	-79.64129453332906
0.0	1.5	-30.0	-79.5112332448221
0.0	1.5	-32.0	-81.68201890880245
0.0	1.5	-34.0	-79.94775361969413
0.0	1.5	-36.0	-80.66312307463728
0.0	1.5	-38.0	-98.72837466649938
0.0	1.5	-40.0	-89.54641443522554
0.0	1.5	-42.0	-80.5668266688771
0.0	1.5	-44.0	-80.308723939685
0.0	1.5	-46.0	-81.37537406913934
0.0	1.5	-48.0	-80.13356667799309
0.0	1.5	-50.0	-107.4362170175198
0.0	1.7	30.0	-83.2191486981694
0.0	1.7	28.0	-80.01353624849875
0.0	1.7	26.0	-79.43824395905405
0.0	1.7	24.0	-79.39286395220819
0.0	1.7	22.0	-78.19819450258565
0.0	1.7	20.0	-77.9367033738564
0.0	1.7	18.0	-77.72649312197446
0.0	1.7	16.0	-77.18499701533143
0.0	1.7	14.0	-76.927012267566
0.0	1.7	12.0	-77.06747883406646
0.0	1.7	10.0	-77.14338770545423
0.0	1.7	8.0	-76.86723905308769
0.0	1.7	6.0	-78.38835996513801
0.0	1.7	4.0	-77.79404791239826
0.0	1.7	2.0	-77.46839958167693
0.0	1.7	0.0	-78.77505208966078
0.0	1.7	-2.0	-79.01964611002214
0.0	1.7	-4.0	-80.28910664936654
0.0	1.7	-6.0	-78.6990549507213
0.0	1.7	-8.0	-79.82052806981572
0.0	1.7	-10.0	-80.16178593902004
0.0	1.7	-12.0	-79.91863496137566
0.0	1.7	-14.0	-80.916419694012
0.0	1.7	-16.0	-81.00693486317257
0.0	1.7	-18.0	-82.18531809015903
0.0	1.7	-20.0	-82.81365705781893
0.0	1.7	-22.0	-84.93202817595652
0.0	1.7	-24.0	-80.76913444931432
0.0	1.7	-26.0	-82.67980289294779
0.0	1.7	-28.0	-81.12714213317376
0.0	1.7	-30.0	-95.32928464107488
0.0	1.7	-32.0	-99.6073841228828
0.0	1.7	-34.0	-79.25799090131672
0.0	1.7	-36.0	-108.55016761555012
0.0	1.7	-38.0	-inf
0.0	1.7	-40.0	-119.63578028729435
0.0	1.7	-42.0	-inf
0.0	1.7	-44.0	-96.0466996758308
0.0	1.7	-46.0	-inf
0.0	1.7	-48.0	-inf
0.0	1.7	-50.0	-88.6068686952757
0.0	1.9	30.0	-78.89539766840943
0.0	1.9	28.0	-78.12973352147537
0.0	1.9	26.0	-78.8802874004058
0.0	1.9	24.0	-78.43608524453647
0.0	1.9	22.0	-78.60075671069535
0.0	1.9	20.0	-78.55880468238558
0.0	1.9	18.0	-78.12343097578548
0.0	1.9	16.0	-78.61665892749136
0.0	1.9	14.0	-77.74563467230881
0.0	1.9	12.0	-78.37644308133353
0.0	1.9	10.0	-79.30658126695225
0.0	1.9	8.0	-81.5112116144018
0.0	1.9	6.0	-83.31709158452186
0.0	1.9	4.0	-82.28229176819177
0.0	1.9	2.0	-80.54879169743737
0.0	1.9	0.0	-81.41125967462048
0.0	1.9	-2.0	-85.44974697096887
0.0	1.9	-4.0	-81.55416288801032
0.0	1.9	-6.0	-79.06817065177648
0.0	1.9	-8.0	-84.29012837323073
0.0	1.9	-10.0	-85.22413004682889
0.0	1.9	-12.0	-92.69109667037516
0.0	1.9	-14.0	-91.34149527369547
0.0	1.9	-16.0	-105.9700913948199
0.0	1.9	-18.0	-97.27877302510316
0.0	1.9	-20.0	-inf
0.0	1.9	-22.0	-81.93534389310997
0.0	1.9	-24.0	-81.50047313084882
0.0	1.9	-26.0	-inf
0.0	1.9	-28.0	-inf
0.0	1.9	-30.0	-inf
0.0	1.9	-32.0	-inf
0.0	1.9	-34.0	-inf
0.0	1.9	-36.0	-inf
0.0	1.9	-38.0	-inf
0.0	1.9	-40.0	-inf
0.0	1.9	-42.0	-inf
0.0	1.9	-44.0	-inf
0.0	1.9	-46.0	-inf
0.0	1.9	-48.0	-106.58235260509602
0.0	1.9	-50.0	-inf
0.0	2.0999999999999996	30.0	-81.92909749097059
0.0	2.0999999999999996	28.0	-83.17979670807311
0.0	2.0999999999999996	26.0	-81.29000769770208
0.0	2.0999999999999996	24.0	-81.4205603970569
0.0	2.0999999999999996	22.0	-84.79461502964473
0.0	2.0999999999999996	20.0	-87.19338489214529
0.0	2.0999999999999996	18.0	-83.32562857761778
0.0	2.0999999999999996	16.0	-84.04802342450884
0.0	2.0999999999999996	14.0	-87.29316916219578
0.0	2.0999999999999996	12.0	-81.98755595327546
0.0	2.0999999999999996	10.0	-85.05968047278132
0.0	2.0999999999999996	8.0	-85.76301051093772
0.0	2.0999999999999996	6.0	-86.94958516559133
0.0	2.0999999999999996	4.0	-90.03275330405224
0.0	2.0999999999999996	2.0	-94.04166078511294
0.0	2.0999999999999996	0.0	-86.1362384660047
0.0	2.0999999999999996	-2.0	-95.4110536539215
0.0	2.0999999999999996	-4.0	-inf
0.0	2.0999999999999996	-6.0	-92.4926248361157
0.0	2.0999999999999996	-8.0	-inf
0.0	2.0999999999999996	-10.0	-inf
0.0	2.0999999999999996	-12.0	-inf
