R0	mean_logL	sim_no
1.0	-323.6693258477239	20
1.05	-204.0700347850146	20
1.1	-169.20353426421917	20
1.15	-121.45181229723798	20
1.2	-101.99799962330754	20
1.25	-89.29016973757719	20
1.3	-82.61356866115368	20
1.35	-80.24343599901036	20
1.4	-78.90862841822995	20
1.41	-78.35747094053625	20
1.42	-78.5760475273841	20
1.43	-78.54130037901237	20
1.44	-78.33675595560818	20
1.45	-78.1275092701144	20
1.46	-78.15459670590357	20
1.47	-78.09625593542968	20
1.48	-78.11648382042272	20
1.49	-77.9090563206027	20
1.5	-77.9159023985197	20
1.51	-77.96462417038447	20
1.52	-77.74505947464347	20
1.53	-77.72345195101552	20
1.54	-77.73855730657195	20
1.55	-77.87584510422502	20
1.56	-77.75775196002076	20
1.57	-77.99370088714045	20
1.58	-77.64588412298767	20
1.59	-77.84527375745127	20
1.6	-77.6869904199495	20
1.61	-77.75410551565511	20
1.62	-77.8094998069633	20
1.63	-77.82355199916557	20
1.64	-77.91478270302136	20
1.65	-77.89520402363792	20
1.66	-77.84114563800891	20
1.67	-77.81830237635226	20
1.68	-78.17346615593719	20
1.69	-77.95269493149927	20
1.7	-78.26883721044143	20
1.71	-78.26942100521919	20
1.72	-78.33458704205154	20
1.73	-78.32846921300253	20
1.74	-78.47127186794361	20
1.75	-78.89985191707692	20
1.76	-78.92572045975419	20
1.77	-78.92276968622043	20
1.78	-78.99611642343135	20
1.79	-79.4369471949444	20
1.8	-79.15883239917646	20
1.85	-80.27811579083127	20
1.9	-81.86368263064345	20
1.95	-82.94566807243653	20
2.0	-85.66539404154425	20
2.05	-91.39451032722718	20
2.1		20
2.15		20
2.2		20
2.25		20
2.3		20
2.35		20
2.4		20
2.45		20
2.5		20
