R0	mean_logL	sim_no
1.0	-323.6693258477239	20
1.05	-204.0700347850146	20
1.1	-169.20353426421917	20
1.15	-121.45181229723798	20
1.2	-101.99799962330754	20
1.25	-89.47322106490333	20
1.26	-87.18446031720191	20
1.27	-84.31558494665782	20
1.28	-84.39174330582556	20
1.29	-83.5482522790079	20
1.3	-82.56768716706912	20
1.31	-81.96750614495645	20
1.32	-81.45000676612744	20
1.33	-81.79416631322489	20
1.34	-80.89849723874846	20
1.35	-80.36939920905498	20
1.36	-79.83723253594006	20
1.37	-79.41472039111355	20
1.38	-79.70918534533725	20
1.39	-78.88778091573349	20
1.4	-78.90862841822995	20
1.41	-78.35747094053625	20
1.42	-78.5760475273841	20
1.43	-78.54130037901237	20
1.44	-78.33675595560818	20
1.45	-78.1275092701144	20
1.46	-78.15459670590357	20
1.47	-78.09625593542968	20
1.48	-78.11648382042272	20
1.49	-77.9090563206027	20
1.5	-77.9159023985197	20
1.51	-77.96462417038447	20
1.52	-77.74505947464347	20
1.53	-77.72345195101552	20
1.54	-77.73855730657195	20
1.55	-77.87584510422502	20
1.56	-77.75775196002076	20
1.57	-77.99370088714045	20
1.58	-77.64588412298767	20
1.59	-77.84527375745127	20
1.6	-77.6869904199495	20
1.61	-77.75410551565511	20
1.62	-77.8094998069633	20
1.63	-77.82355199916557	20
1.64	-77.91478270302136	20
1.65	-77.89520402363792	20
1.66	-77.84114563800891	20
1.67	-77.81830237635226	20
1.68	-78.17346615593719	20
1.69	-77.95269493149927	20
1.7	-78.26883721044143	20
1.71	-78.26942100521919	20
1.72	-78.33458704205154	20
1.73	-78.32846921300253	20
1.74	-78.47127186794361	20
1.75	-78.89985191707692	20
1.76	-78.92572045975419	20
1.77	-78.92276968622043	20
1.78	-78.99611642343135	20
1.79	-79.4369471949444	20
1.8	-79.15883239917646	20
1.81	-79.40344787071515	20
1.82	-79.86327446294032	20
1.83	-79.98401946572915	20
1.84	-79.60230896276636	20
1.85	-80.43241818882302	20
1.86	-80.32256539633906	20
1.87	-80.81491847187881	20
1.88	-81.57276890218824	20
1.89	-82.01890816179633	20
1.9	-82.11663690768984	20
1.91	-82.2110405050157	20
1.92	-81.8921417516613	20
1.93	-82.7918626830564	20
1.94	-82.90209592974253	20
1.95	-82.66565080939083	20
1.96	-85.18072948580416	20
1.97	-86.19273397462521	20
1.98	-84.84245197012059	20
1.99	-83.8637374931352	20
2.0	-84.09165932449858	20
2.05	-91.39451032722718	20
2.1		20
2.15		20
2.2		20
2.25		20
2.3		20
2.35		20
2.4		20
2.45		20
2.5		20
