	t	genotype	recovered_window
0	32.7	12.0	34.0
0	48.5	4.0	50.0
0	50.6	61.0	54.0
1	53.8	78.0	54.0
0	57.6	118.0	58.0
0	59.7	196.0	62.0
0	62.8	4.0	66.0
1	63.0	60.0	66.0
0	68.6	36.0	70.0
1	66.7	16.0	70.0
2	67.7	24.0	70.0
3	69.7	89.0	70.0
4	66.8	168.0	70.0
5	67.0	26.0	70.0
0	70.4	218.0	74.0
1	73.0	464.0	74.0
2	72.5	26.0	74.0
3	72.3	218.0	74.0
4	73.9	16.0	74.0
5	72.5	0.0	74.0
6	72.8	293.0	74.0
7	72.1	119.0	74.0
8	73.5	15.0	74.0
9	72.7	60.0	74.0
0	74.5	346.0	78.0
1	76.5	16.0	78.0
2	75.7	623.0	78.0
3	77.7	690.0	78.0
4	77.4	978.0	78.0
0	80.8	398.0	82.0
1	80.2	1075.0	82.0
2	79.5	1299.0	82.0
3	78.6	201.0	82.0
4	80.0	687.0	82.0
5	80.2	756.0	82.0
6	81.4	1261.0	82.0
7	79.4	60.0	82.0
8	78.2	292.0	82.0
9	81.9	1568.0	82.0
10	79.4	364.0	82.0
11	80.7	419.0	82.0
12	80.2	424.0	82.0
0	82.6	119.0	86.0
1	82.3	214.0	86.0
2	84.9	36.0	86.0
3	85.3	14.0	86.0
4	85.9	1544.0	86.0
5	86.0	2080.0	86.0
6	84.2	253.0	86.0
7	83.2	1141.0	86.0
8	86.0	1897.0	86.0
9	85.7	16.0	86.0
10	82.8	1911.0	86.0
11	83.3	89.0	86.0
12	84.1	16.0	86.0
13	85.9	268.0	86.0
14	84.6	1915.0	86.0
15	83.1	979.0	86.0
16	82.8	756.0	86.0
17	85.9	2002.0	86.0
18	82.1	0.0	86.0
19	82.2	1176.0	86.0
20	83.9	214.0	86.0
21	83.5	1005.0	86.0
0	89.1	1098.0	90.0
1	89.4	1227.0	90.0
2	88.0	314.0	90.0
3	86.3	2251.0	90.0
4	89.1	1668.0	90.0
5	89.0	1580.0	90.0
6	86.8	727.0	90.0
7	87.4	1905.0	90.0
8	88.8	26.0	90.0
9	88.9	210.0	90.0
10	90.0	1887.0	90.0
11	89.6	1134.0	90.0
12	87.1	101.0	90.0
13	88.2	2849.0	90.0
14	87.4	992.0	90.0
15	86.2	2266.0	90.0
16	87.1	39.0	90.0
17	89.9	36.0	90.0
18	86.5	1980.0	90.0
19	88.7	2263.0	90.0
20	88.6	1225.0	90.0
21	88.8	64.0	90.0
22	89.0	1461.0	90.0
23	88.4	1058.0	90.0
24	86.1	89.0	90.0
25	87.2	214.0	90.0
26	87.4	722.0	90.0
27	89.2	1534.0	90.0
28	86.8	426.0	90.0
29	89.2	1936.0	90.0
30	88.5	729.0	90.0
31	88.7	2103.0	90.0
32	89.6	2192.0	90.0
33	88.7	1636.0	90.0
34	88.8	1576.0	90.0
35	88.3	53.0	90.0
36	86.5	2557.0	90.0
37	89.0	722.0	90.0
