window	n	s	window_end	n_recovered_in_win	clade
8	1.0	0.0	34.0	33.0	0
12	1.0	0.0	50.0	122.0	0
13	2.0	2.0	54.0	179.0	0
14	1.0	0.0	58.0	247.0	0
15	1.0	0.0	62.0	329.0	0
16	2.0	2.0	66.0	480.0	0
17	6.0	15.0	70.0	705.0	0
18	10.0	20.0	74.0	1072.0	0
19	5.0	11.0	78.0	1500.0	0
20	13.0	33.0	82.0	2239.0	0
21	22.0	52.0	86.0	3069.0	0
22	49.0	98.0	90.0	4218.0	0
23	40.0	102.0	94.0	5151.0	0
24	38.0	84.0	98.0	5946.0	0
25	51.0	157.0	102.0	6452.0	0
26	48.0	119.0	106.0	6424.0	0
27	37.0	108.0	110.0	5982.0	0
28	48.0	135.0	114.0	4888.0	0
29	27.0	79.0	118.0	3980.0	0
30	29.0	108.0	122.0	2947.0	0
31	17.0	58.0	126.0	2241.0	0
32	18.0	69.0	130.0	1575.0	0
33	9.0	41.0	134.0	1165.0	0
34	8.0	46.0	138.0	815.0	0
35	5.0	14.0	142.0	522.0	0
36	6.0	29.0	146.0	408.0	0
37	1.0	0.0	150.0	294.0	0
38	1.0	0.0	154.0	155.0	0
39	2.0	15.0	158.0	138.0	0
40	1.0	0.0	162.0	64.0	0
41	1.0	0.0	166.0	60.0	0
