t_before	s_before	e_before	i_before	r_before	seg_before	t_after	s_after	e_after	i_after	r_after	seg_after	selected
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99998.0	1.0	0.0	1.0	nan	V
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99999.0	0.0	1.0	0.0	nan	V
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99999.0	0.0	1.0	0.0	nan	X
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99998.0	0.0	2.0	0.0	nan	V
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99998.0	1.0	1.0	0.0	nan	V
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99999.0	0.0	1.0	0.0	nan	V
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99997.0	1.0	2.0	0.0	nan	V
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99999.0	0.0	0.0	1.0	nan	X
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99998.0	0.0	2.0	0.0	nan	V
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99998.0	1.0	0.0	1.0	nan	V
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99999.0	0.0	1.0	0.0	nan	V
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99999.0	0.0	0.0	1.0	nan	X
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99999.0	0.0	0.0	1.0	nan	X
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99997.0	1.0	2.0	0.0	nan	X
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99999.0	0.0	1.0	0.0	nan	V
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99999.0	0.0	0.0	1.0	nan	X
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99999.0	0.0	0.0	1.0	nan	X
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99998.0	0.0	1.0	1.0	nan	V
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99998.0	1.0	1.0	0.0	nan	X
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99999.0	0.0	0.0	1.0	nan	X
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99999.0	0.0	1.0	0.0	nan	V
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99998.0	1.0	1.0	0.0	nan	V
16.0	99999.0	0.0	1.0	0.0	nan	18.0	99997.0	1.0	2.0	0.0	nan	V
