	t	genotype	recovered_window
0	32.7	12.0	33.5
0	48.5	4.0	48.5
0	50.6	61.0	51.5
0	53.8	78.0	54.5
0	57.6	118.0	58.5
0	59.7	196.0	60.5
0	62.8	4.0	63.5
1	63.0	60.0	63.5
0	66.7	16.0	67.5
1	66.8	168.0	67.5
2	67.0	26.0	67.5
0	67.7	24.0	68.5
0	68.6	36.0	69.5
0	69.7	89.0	70.5
1	70.4	218.0	70.5
0	72.5	26.0	72.5
1	72.3	218.0	72.5
2	72.5	0.0	72.5
3	72.1	119.0	72.5
0	73.0	464.0	73.5
1	72.8	293.0	73.5
2	73.5	15.0	73.5
3	72.7	60.0	73.5
0	73.9	16.0	74.5
1	74.5	346.0	74.5
0	76.5	16.0	76.5
1	75.7	623.0	76.5
0	77.4	978.0	77.5
0	77.7	690.0	78.5
1	78.2	292.0	78.5
0	79.5	1299.0	79.5
1	78.6	201.0	79.5
2	79.4	60.0	79.5
3	79.4	364.0	79.5
0	80.2	1075.0	80.5
1	80.0	687.0	80.5
2	80.2	756.0	80.5
3	80.2	424.0	80.5
0	80.8	398.0	81.5
1	81.4	1261.0	81.5
2	80.7	419.0	81.5
0	81.9	1568.0	82.5
1	82.3	214.0	82.5
2	82.1	0.0	82.5
3	82.2	1176.0	82.5
0	82.6	119.0	83.5
1	83.2	1141.0	83.5
2	82.8	1911.0	83.5
3	83.3	89.0	83.5
4	83.1	979.0	83.5
5	82.8	756.0	83.5
6	83.5	1005.0	83.5
0	84.2	253.0	84.5
1	84.1	16.0	84.5
2	83.9	214.0	84.5
0	84.9	36.0	85.5
1	85.3	14.0	85.5
2	84.6	1915.0	85.5
0	85.9	1544.0	86.5
1	86.0	2080.0	86.5
2	86.0	1897.0	86.5
3	85.7	16.0	86.5
4	85.9	268.0	86.5
5	85.9	2002.0	86.5
6	86.3	2251.0	86.5
7	86.2	2266.0	86.5
8	86.5	1980.0	86.5
9	86.1	89.0	86.5
10	86.5	2557.0	86.5
11	86.5	943.0	86.5
12	86.4	2208.0	86.5
13	86.3	201.0	86.5
0	86.8	727.0	87.5
1	87.4	1905.0	87.5
2	87.1	101.0	87.5
3	87.4	992.0	87.5
4	87.1	39.0	87.5
5	87.2	214.0	87.5
6	87.4	722.0	87.5
7	86.8	426.0	87.5
0	88.0	314.0	88.5
1	88.2	2849.0	88.5
2	88.4	1058.0	88.5
3	88.5	729.0	88.5
4	88.3	53.0	88.5
5	87.8	26.0	88.5
6	88.4	210.0	88.5
0	89.1	1098.0	89.5
1	89.4	1227.0	89.5
2	89.1	1668.0	89.5
3	89.0	1580.0	89.5
4	88.8	26.0	89.5
5	88.9	210.0	89.5
6	88.7	2263.0	89.5
7	88.6	1225.0	89.5
8	88.8	64.0	89.5
9	89.0	1461.0	89.5
10	89.2	1534.0	89.5
11	89.2	1936.0	89.5
12	88.7	2103.0	89.5
13	88.7	1636.0	89.5
14	88.8	1576.0	89.5
15	89.0	722.0	89.5
16	88.9	709.0	89.5
17	89.1	624.0	89.5
18	89.4	127.0	89.5
19	89.5	3147.0	89.5
20	89.1	1496.0	89.5
21	89.5	211.0	89.5
0	90.0	1887.0	90.5
1	89.6	1134.0	90.5
2	89.9	36.0	90.5
3	89.6	2192.0	90.5
4	90.5	69.0	90.5
5	90.5	2433.0	90.5
6	90.2	3409.0	90.5
7	90.5	989.0	90.5
8	90.1	745.0	90.5
9	90.4	970.0	90.5
0	91.1	2236.0	91.5
1	90.6	2838.0	91.5
2	91.2	277.0	91.5
3	91.1	119.0	91.5
0	92.0	4040.0	92.5
1	91.8	1085.0	92.5
2	92.3	1048.0	92.5
3	92.4	335.0	92.5
4	92.2	3571.0	92.5
5	91.8	3266.0	92.5
6	91.7	1250.0	92.5
7	92.3	3006.0	92.5
8	92.5	121.0	92.5
9	92.1	2452.0	92.5
10	92.5	448.0	92.5
11	91.8	256.0	92.5
0	92.6	1762.0	93.5
1	93.1	2498.0	93.5
2	92.9	1098.0	93.5
3	92.7	253.0	93.5
4	93.2	782.0	93.5
5	92.6	64.0	93.5
6	93.5	1932.0	93.5
7	92.8	2229.0	93.5
8	93.4	26.0	93.5
9	92.7	3735.0	93.5
10	93.2	1386.0	93.5
11	93.0	26.0	93.5
12	92.9	2138.0	93.5
13	93.0	4369.0	93.5
14	93.2	2233.0	93.5
0	93.8	142.0	94.5
1	94.0	763.0	94.5
2	93.9	2999.0	94.5
3	94.4	1404.0	94.5
4	94.5	4102.0	94.5
5	94.3	2511.0	94.5
6	94.3	4434.0	94.5
7	94.3	4.0	94.5
0	94.7	4615.0	95.5
1	95.2	138.0	95.5
2	95.2	3689.0	95.5
3	94.8	59.0	95.5
4	95.3	1228.0	95.5
5	94.7	3702.0	95.5
6	95.2	236.0	95.5
7	94.7	831.0	95.5
8	94.8	1099.0	95.5
9	95.4	419.0	95.5
0	95.7	4279.0	96.5
1	96.4	4.0	96.5
2	95.8	1855.0	96.5
3	96.3	3998.0	96.5
4	96.4	2752.0	96.5
5	96.1	3721.0	96.5
6	96.5	2600.0	96.5
7	95.9	415.0	96.5
8	95.9	990.0	96.5
9	96.0	178.0	96.5
0	97.0	2814.0	97.5
1	96.9	5395.0	97.5
2	97.0	155.0	97.5
3	96.8	1315.0	97.5
4	97.1	230.0	97.5
5	96.6	0.0	97.5
6	97.2	4605.0	97.5
7	97.0	64.0	97.5
0	98.0	2298.0	98.5
1	97.8	3893.0	98.5
2	97.8	4264.0	98.5
3	98.0	1494.0	98.5
4	97.9	3437.0	98.5
5	98.2	1822.0	98.5
6	98.2	201.0	98.5
7	98.2	4415.0	98.5
8	98.2	1666.0	98.5
9	98.2	538.0	98.5
0	98.8	0.0	99.5
1	98.8	3725.0	99.5
2	98.7	662.0	99.5
3	99.4	3472.0	99.5
4	99.2	3194.0	99.5
5	99.1	3954.0	99.5
6	98.6	4030.0	99.5
7	98.8	1991.0	99.5
8	99.3	864.0	99.5
9	98.8	711.0	99.5
10	98.9	277.0	99.5
11	99.5	1005.0	99.5
12	98.8	538.0	99.5
13	98.8	2093.0	99.5
14	98.8	268.0	99.5
0	100.2	3407.0	100.5
1	99.8	1053.0	100.5
2	100.2	1944.0	100.5
3	100.0	6005.0	100.5
4	100.1	2424.0	100.5
5	99.9	4810.0	100.5
6	100.3	127.0	100.5
7	100.2	4200.0	100.5
8	99.6	1376.0	100.5
0	100.8	4654.0	101.5
1	100.8	0.0	101.5
2	100.7	1582.0	101.5
3	101.2	0.0	101.5
4	101.1	101.0	101.5
5	101.5	5906.0	101.5
6	100.8	2547.0	101.5
7	100.7	2822.0	101.5
8	101.3	5954.0	101.5
9	100.6	3438.0	101.5
10	101.4	1075.0	101.5
11	101.4	1118.0	101.5
12	100.9	6038.0	101.5
13	101.0	1785.0	101.5
14	100.8	932.0	101.5
0	101.7	6019.0	102.5
1	101.7	197.0	102.5
2	101.9	4258.0	102.5
3	101.8	3870.0	102.5
4	101.9	5332.0	102.5
5	101.9	201.0	102.5
6	102.0	4660.0	102.5
7	102.4	6200.0	102.5
8	102.4	415.0	102.5
9	102.5	782.0	102.5
10	102.3	391.0	102.5
11	102.4	4286.0	102.5
12	102.4	5396.0	102.5
13	102.2	6910.0	102.5
14	102.2	2621.0	102.5
0	102.8	1997.0	103.5
1	103.2	5505.0	103.5
2	103.5	7212.0	103.5
3	102.9	4705.0	103.5
4	102.7	398.0	103.5
5	102.6	839.0	103.5
6	103.3	398.0	103.5
7	103.5	4956.0	103.5
8	103.5	230.0	103.5
9	102.9	5330.0	103.5
10	103.4	0.0	103.5
11	102.7	785.0	103.5
12	103.1	2895.0	103.5
13	103.4	53.0	103.5
14	103.4	127.0	103.5
0	104.4	5564.0	104.5
1	103.6	538.0	104.5
2	103.6	1531.0	104.5
3	103.7	5572.0	104.5
4	103.8	3238.0	104.5
5	104.2	2686.0	104.5
6	103.7	7127.0	104.5
7	103.8	1431.0	104.5
0	104.8	6187.0	105.5
1	104.6	197.0	105.5
2	104.9	7855.0	105.5
3	104.7	2973.0	105.5
4	105.0	6697.0	105.5
5	105.5	7277.0	105.5
6	105.5	504.0	105.5
7	104.8	6116.0	105.5
8	104.9	2144.0	105.5
9	105.1	6048.0	105.5
10	105.2	256.0	105.5
11	105.2	549.0	105.5
12	104.6	6247.0	105.5
0	106.0	2198.0	106.5
1	106.0	2625.0	106.5
2	106.0	597.0	106.5
3	105.7	26.0	106.5
4	106.3	7232.0	106.5
5	106.2	4667.0	106.5
6	106.1	60.0	106.5
7	106.3	6013.0	106.5
8	106.2	7606.0	106.5
9	106.3	7577.0	106.5
0	107.5	7781.0	107.5
1	107.1	7305.0	107.5
2	107.0	1483.0	107.5
3	106.8	716.0	107.5
4	106.7	1997.0	107.5
5	106.8	7395.0	107.5
6	107.3	7805.0	107.5
7	106.6	918.0	107.5
8	107.2	1941.0	107.5
0	107.9	4509.0	108.5
1	107.6	5289.0	108.5
2	107.7	4981.0	108.5
3	107.7	7718.0	108.5
4	108.2	2935.0	108.5
5	107.8	5145.0	108.5
6	108.1	193.0	108.5
7	107.8	2792.0	108.5
8	108.5	8264.0	108.5
9	108.1	6810.0	108.5
0	109.0	2953.0	109.5
1	109.2	4024.0	109.5
2	109.0	722.0	109.5
3	109.3	6848.0	109.5
4	108.9	8544.0	109.5
5	109.5	3282.0	109.5
6	109.4	448.0	109.5
7	109.5	1849.0	109.5
