R0	mean_logL	sim_no
1.0	-416.9252297746135	20
1.05	-256.1008469802493	20
1.1	-172.2838109532715	20
1.15	-110.2688924868472	20
1.2	-79.16972461030414	20
1.25	-53.77903711486006	20
1.3	-46.0355628396567	20
1.35	-41.948926647699736	20
1.4	-40.52628749522635	20
1.41	-40.32155932149716	20
1.42	-40.26518636469565	20
1.43	-40.1349898658474	20
1.44	-39.929738163566185	20
1.45	-39.76648721570921	20
1.46	-39.753584033775766	20
1.47	-39.583641679262385	20
1.48	-39.491954130763105	20
1.49	-39.46291682954078	20
1.5	-39.401981502438964	20
1.51	-39.3887989630054	20
1.52	-39.34310173820234	20
1.53	-39.37168317760798	20
1.54	-39.341980584534056	20
1.55	-39.27553354854872	20
1.56	-39.246471023883956	20
1.57	-39.305279173238276	20
1.58	-39.38674497518248	20
1.59	-39.17496616606483	20
1.6	-39.378207780022834	20
1.61	-39.22626487432633	20
1.62	-39.429621958684734	20
1.63	-39.320359850207836	20
1.64	-39.382825381345526	20
1.65	-39.266380138330284	20
1.66	-39.328430248849266	20
1.67	-39.54555826730707	20
1.68	-39.791094957294646	20
1.69	-39.77376895341103	20
1.7	-39.704592681648116	20
1.71	-39.86256177278638	20
1.72	-39.991324434990474	20
1.73	-40.22385755553048	20
1.74	-39.999007488905775	20
1.75	-40.2381827762199	20
1.76	-40.132560563471145	20
1.77	-40.43109359630771	20
1.78	-40.69175082252996	20
1.79	-40.54207815375129	20
1.8	-40.611734346757046	20
1.85	-41.5554306474191	20
1.9	-42.44936053472331	20
1.95	-45.23115013999693	20
2.0	-48.44933793223895	20
2.05	-52.83565113780257	20
2.1	-58.55392568950316	20
2.15		20
2.2		20
2.25		20
2.3		20
2.35		20
2.4		20
2.45		20
2.5		20
