R0	mean_logL	sim_no
1.0	-281.0183267210301	20
1.05	-206.2981322097832	20
1.1	-143.67040749432056	20
1.15	-109.88155958604914	20
1.2	-78.30791718298158	20
1.25	-67.02774621072564	20
1.26	-65.98820407644479	20
1.27	-65.31436205177734	20
1.28	-63.84967148005738	20
1.29	-64.2248892469992	20
1.3	-63.02426720850917	20
1.31	-62.29381515728585	20
1.32	-62.57719462553331	20
1.33	-62.002042217854225	20
1.34	-61.62684066026215	20
1.35	-61.499671702830504	20
1.36	-61.38287206676781	20
1.37	-61.21034385127016	20
1.38	-60.80060176418651	20
1.39	-60.94069971584662	20
1.4	-60.67324841280269	20
1.41	-60.809398709321634	20
1.42	-60.50200051598978	20
1.43	-60.448587009190796	20
1.44	-60.46093381124818	20
1.45	-60.5732211754912	20
1.46	-60.45774338346033	20
1.47	-60.42016973174994	20
1.48	-60.3982516636972	20
1.49	-60.379806650466904	20
1.5	-60.415970034588135	20
1.51	-60.40804395554168	20
1.52	-60.38585064132995	20
1.53	-60.44431689400775	20
1.54	-60.42042938441451	20
1.55	-60.67349507131762	20
1.56	-60.802285743088305	20
1.57	-60.824328412392674	20
1.58	-60.679893458307774	20
1.59	-60.83021750097735	20
1.6	-60.59039680656993	20
1.61	-60.922655698743725	20
1.62	-60.96244723383503	20
1.63	-61.0245076885861	20
1.64	-61.221057001172596	20
1.65	-61.11145630495387	20
1.66	-61.29284691375202	20
1.67	-61.06412189562707	20
1.68	-61.88194112185082	20
1.69	-61.35831241596959	20
1.7	-61.60660250622054	20
1.71	-61.95810213440559	20
1.72	-61.80168452605428	20
1.73	-61.902904375246656	20
1.74	-62.29572758069926	20
1.75	-61.99915207554744	20
1.76	-62.91811985168962	20
1.77	-62.431043964500454	20
1.78	-62.95265638562104	20
1.79	-63.477360201700876	20
1.8	-64.05344419964362	20
1.81	-63.366193275565124	20
1.82	-64.11464243508414	20
1.83	-63.290233055204034	20
1.84	-64.55890147805373	20
1.85	-65.56010290175831	20
1.86	-65.3988209204643	20
1.87	-65.72312676826857	20
1.88	-65.97133170771956	20
1.89	-66.56775422220946	20
1.9	-66.28629715801127	20
1.91	-66.58950271574169	20
1.92	-67.3442952406351	20
1.93	-68.91358586792569	20
1.94	-69.27550660331006	20
1.95	-68.99350901305495	20
1.96	-68.34362640210225	20
1.97	-69.15077438268122	20
1.98	-71.56649207998332	20
1.99	-70.56028176660834	20
2.0	-71.20630774748436	20
2.05	-77.87094629514951	20
2.1		20
2.15		20
2.2		20
2.25		20
2.3		20
2.35		20
2.4		20
2.45		20
2.5		20
