window	n	s	window_end	n_recovered_in_win	clade
5	1.0	0.0	35.0	46.0	0
8	2.0	4.0	53.0	226.0	0
9	2.0	5.0	59.0	367.0	0
10	3.0	9.0	65.0	592.0	0
11	7.0	17.0	71.0	1068.0	0
12	12.0	25.0	77.0	1902.0	0
13	21.0	48.0	83.0	3381.0	0
14	51.0	98.0	89.0	5435.0	0
15	64.0	138.0	95.0	7735.0	0
16	66.0	164.0	101.0	9354.0	0
17	72.0	170.0	107.0	9588.0	0
18	64.0	162.0	113.0	8214.0	0
19	49.0	132.0	119.0	5899.0	0
20	31.0	112.0	125.0	3916.0	0
21	23.0	87.0	131.0	2358.0	0
22	14.0	68.0	137.0	1479.0	0
23	7.0	27.0	143.0	833.0	0
24	6.0	27.0	149.0	509.0	0
25	2.0	9.0	155.0	263.0	0
26	2.0	14.0	161.0	145.0	0
27	1.0	0.0	167.0	88.0	0
