	t	genotype	recovered_window
0	22.6	0.0	24.0
1	23.5	1.0	24.0
2	22.6	0.0	24.0
3	23.4	0.0	24.0
4	22.1	0.0	24.0
5	23.5	1.0	24.0
6	23.8	0.0	24.0
7	22.2	0.0	24.0
8	23.8	0.0	24.0
9	22.3	3.0	24.0
0	29.8	0.0	30.0
1	28.4	0.0	30.0
2	28.9	7.0	30.0
3	29.8	6.0	30.0
4	28.4	0.0	30.0
5	28.1	0.0	30.0
6	29.3	0.0	30.0
7	30.0	0.0	30.0
8	28.4	0.0	30.0
9	29.3	0.0	30.0
0	30.7	0.0	32.0
1	30.9	0.0	32.0
2	31.5	8.0	32.0
3	32.0	0.0	32.0
4	30.8	0.0	32.0
5	31.1	0.0	32.0
6	30.6	0.0	32.0
7	30.8	0.0	32.0
8	30.4	0.0	32.0
9	31.5	0.0	32.0
0	33.2	0.0	34.0
1	33.8	5.0	34.0
2	32.7	0.0	34.0
3	32.4	4.0	34.0
4	32.6	0.0	34.0
5	32.4	4.0	34.0
6	32.3	0.0	34.0
7	32.6	0.0	34.0
8	33.9	6.0	34.0
9	33.8	0.0	34.0
0	35.7	0.0	36.0
1	35.4	0.0	36.0
2	35.7	0.0	36.0
3	35.6	0.0	36.0
4	35.8	0.0	36.0
5	34.2	5.0	36.0
6	35.0	0.0	36.0
7	34.9	0.0	36.0
8	34.6	0.0	36.0
9	34.8	0.0	36.0
0	37.6	0.0	38.0
1	36.7	10.0	38.0
2	37.4	5.0	38.0
3	37.3	0.0	38.0
4	38.0	0.0	38.0
5	37.7	5.0	38.0
6	37.1	0.0	38.0
7	37.9	0.0	38.0
8	37.3	0.0	38.0
9	37.9	0.0	38.0
0	40.0	4.0	40.0
1	38.5	15.0	40.0
2	38.8	16.0	40.0
3	39.4	10.0	40.0
4	38.7	0.0	40.0
5	38.7	0.0	40.0
6	38.2	0.0	40.0
7	38.2	14.0	40.0
8	38.2	5.0	40.0
9	39.1	0.0	40.0
0	41.6	33.0	42.0
1	41.8	4.0	42.0
2	42.0	27.0	42.0
3	41.9	0.0	42.0
4	40.1	5.0	42.0
5	41.4	16.0	42.0
6	41.1	0.0	42.0
7	41.3	20.0	42.0
8	41.2	25.0	42.0
9	41.8	16.0	42.0
0	43.7	4.0	44.0
1	43.0	0.0	44.0
2	42.2	4.0	44.0
3	43.5	14.0	44.0
4	42.3	0.0	44.0
5	42.4	31.0	44.0
6	42.5	22.0	44.0
7	43.7	0.0	44.0
8	43.2	26.0	44.0
9	44.0	4.0	44.0
0	44.1	14.0	46.0
1	44.9	43.0	46.0
2	45.1	23.0	46.0
3	45.3	0.0	46.0
4	45.6	52.0	46.0
5	46.0	24.0	46.0
6	44.9	4.0	46.0
7	44.2	15.0	46.0
8	45.6	0.0	46.0
9	44.4	15.0	46.0
0	46.2	4.0	48.0
1	46.6	15.0	48.0
2	47.1	15.0	48.0
3	47.4	0.0	48.0
4	48.0	26.0	48.0
5	47.9	26.0	48.0
