n_iter	R0	llh
0.0	1.42	-131.7327266566162
0.0	1.43	-132.12633135782005
0.0	1.44	-128.68335380480158
0.0	1.45	-129.73202154387175
0.0	1.46	-129.75700662990891
0.0	1.47	-128.2462592748271
0.0	1.48	-127.05171340115909
0.0	1.49	-127.32654050453708
0.0	1.5	-125.81211526280379
0.0	1.51	-124.72267671555362
0.0	1.52	-125.94069047624262
0.0	1.53	-125.30107152179092
0.0	1.54	-124.49932457163904
0.0	1.55	-122.86109808256954
0.0	1.56	-125.2782291164807
0.0	1.57	-126.4378212140907
0.0	1.58	-123.9386744959491
0.0	1.59	-123.28878125727715
0.0	1.6	-126.1537088270409
0.0	1.61	-125.67923927494166
0.0	1.62	-126.8058516950054
0.0	1.6300000000000001	-124.9772326578557
0.0	1.6400000000000001	-126.87539156749472
0.0	1.6500000000000001	-127.30057892315627
0.0	1.6600000000000001	-132.01468905236163
0.0	1.6700000000000002	-127.32174922569365
0.0	1.6800000000000002	-128.57185715964792
0.0	1.6900000000000002	-128.40004025187
0.0	1.7000000000000002	-128.90600137557865
0.0	1.7100000000000002	-132.86536639224113
0.0	1.7200000000000002	-134.64860738627746
0.0	1.7300000000000002	-137.9120186879654
0.0	1.7400000000000002	-166.5469488749802
0.0	1.7500000000000002	-inf
0.0	1.7600000000000002	-136.5258169155963
0.0	1.7700000000000002	-inf
0.0	1.7800000000000002	-inf
0.0	1.7900000000000003	-137.77167996841587
0.0	1.8000000000000003	-inf
1.0	1.42	-133.54775576939377
1.0	1.43	-130.1585030192972
1.0	1.44	-129.89423198776996
1.0	1.45	-130.69165957675324
1.0	1.46	-128.99214585340346
1.0	1.47	-124.90336164196563
1.0	1.48	-128.91524039738206
1.0	1.49	-127.20258600127124
1.0	1.5	-127.03307636378422
1.0	1.51	-125.23024806344257
1.0	1.52	-126.79983506315466
1.0	1.53	-124.22675726379066
1.0	1.54	-125.0229248182603
1.0	1.55	-126.64880654339149
1.0	1.56	-124.80386938788442
1.0	1.57	-124.86353325520058
1.0	1.58	-124.12859209365037
1.0	1.59	-124.49740486463595
1.0	1.6	-123.94923263603302
1.0	1.61	-125.03832583261801
1.0	1.62	-124.886233368524
1.0	1.6300000000000001	-126.92899784825481
1.0	1.6400000000000001	-125.57335673929128
1.0	1.6500000000000001	-126.53619398804032
1.0	1.6600000000000001	-128.54210623112425
1.0	1.6700000000000002	-128.95949058299124
1.0	1.6800000000000002	-128.64766142040966
1.0	1.6900000000000002	-131.9528831558168
1.0	1.7000000000000002	-132.43584575147315
1.0	1.7100000000000002	-130.22282731596235
1.0	1.7200000000000002	-134.71852726219524
1.0	1.7300000000000002	-132.02850620114953
1.0	1.7400000000000002	-139.2422594821076
1.0	1.7500000000000002	-inf
1.0	1.7600000000000002	-inf
1.0	1.7700000000000002	-142.24073637434043
1.0	1.7800000000000002	-130.2564932820089
1.0	1.7900000000000003	-inf
1.0	1.8000000000000003	-inf
2.0	1.42	-131.6318694559301
2.0	1.43	-130.27354090363372
2.0	1.44	-131.5950643175097
2.0	1.45	-131.47990532072112
2.0	1.46	-131.00953352221273
2.0	1.47	-130.7480597408644
2.0	1.48	-128.84366834397278
2.0	1.49	-127.65864226094807
