	t	genotype	recovered_window
0	23.5	1.0	24.0
1	22.3	3.0	24.0
2	21.4	0.0	24.0
3	22.6	0.0	24.0
4	23.8	0.0	24.0
5	21.6	3.0	24.0
6	22.1	0.0	24.0
7	23.8	0.0	24.0
8	20.7	0.0	24.0
9	20.5	0.0	24.0
10	23.4	0.0	24.0
11	22.5	1.0	24.0
12	23.5	1.0	24.0
0	31.5	8.0	32.0
1	28.4	0.0	32.0
2	29.8	6.0	32.0
3	29.3	0.0	32.0
4	31.1	0.0	32.0
5	30.0	0.0	32.0
6	31.1	0.0	32.0
7	30.8	0.0	32.0
8	30.8	0.0	32.0
9	31.5	0.0	32.0
10	32.0	0.0	32.0
11	30.7	0.0	32.0
12	28.4	0.0	32.0
0	32.8	0.0	36.0
1	32.4	4.0	36.0
2	33.5	0.0	36.0
3	32.6	0.0	36.0
4	32.4	4.0	36.0
5	32.1	4.0	36.0
6	32.7	0.0	36.0
7	33.8	5.0	36.0
8	32.5	0.0	36.0
9	35.4	0.0	36.0
10	34.9	0.0	36.0
11	35.8	0.0	36.0
12	35.7	0.0	36.0
0	39.4	4.0	40.0
1	39.0	0.0	40.0
2	37.3	0.0	40.0
3	39.1	0.0	40.0
4	38.4	11.0	40.0
5	36.1	0.0	40.0
6	39.2	15.0	40.0
7	37.4	5.0	40.0
8	38.5	16.0	40.0
9	37.7	5.0	40.0
10	38.8	16.0	40.0
11	40.0	11.0	40.0
12	38.2	5.0	40.0
0	42.0	16.0	44.0
1	41.9	28.0	44.0
2	43.8	16.0	44.0
3	41.4	5.0	44.0
4	43.6	38.0	44.0
5	42.0	27.0	44.0
6	41.9	10.0	44.0
7	43.8	26.0	44.0
8	41.5	0.0	44.0
9	40.7	0.0	44.0
10	43.2	26.0	44.0
11	42.3	29.0	44.0
12	40.1	5.0	44.0
0	46.1	15.0	48.0
1	44.9	4.0	48.0
2	46.4	16.0	48.0
3	45.6	18.0	48.0
4	47.6	0.0	48.0
5	44.1	14.0	48.0
6	46.4	27.0	48.0
7	47.1	23.0	48.0
8	47.6	61.0	48.0
9	46.4	58.0	48.0
10	46.2	22.0	48.0
11	45.6	9.0	48.0
12	46.7	0.0	48.0
0	48.5	26.0	52.0
1	50.9	0.0	52.0
2	48.9	23.0	52.0
3	51.5	23.0	52.0
4	48.9	23.0	52.0
5	52.0	49.0	52.0
6	48.2	23.0	52.0
7	52.0	16.0	52.0
8	51.5	0.0	52.0
9	50.4	26.0	52.0
10	51.6	14.0	52.0
11	49.6	4.0	52.0
12	51.8	34.0	52.0
0	53.8	78.0	56.0
1	52.1	19.0	56.0
2	53.3	23.0	56.0
3	52.3	4.0	56.0
4	55.4	4.0	56.0
5	52.7	36.0	56.0
6	55.3	0.0	56.0
7	54.3	4.0	56.0
8	54.4	79.0	56.0
9	53.7	4.0	56.0
10	54.3	0.0	56.0
11	55.9	22.0	56.0
12	55.7	135.0	56.0
0	59.2	14.0	60.0
1	56.8	112.0	60.0
2	59.9	126.0	60.0
3	58.3	127.0	60.0
4	57.3	14.0	60.0
5	58.9	66.0	60.0
6	56.4	89.0	60.0
7	56.5	69.0	60.0
