window	n	s	window_end	n_recovered_in_win	clade
5	13.0	2.0	24.0	18.0	0
7	13.0	2.0	32.0	25.0	0
8	13.0	2.0	36.0	34.0	0
9	13.0	5.0	40.0	42.0	0
10	13.0	11.0	44.0	61.0	0
11	13.0	12.0	48.0	97.0	0
12	13.0	10.0	52.0	143.0	0
13	13.0	13.0	56.0	211.0	0
14	13.0	23.0	60.0	271.0	0
15	13.0	19.0	64.0	387.0	0
16	13.0	18.0	68.0	614.0	0
17	13.0	19.0	72.0	829.0	0
18	13.0	24.0	76.0	1324.0	0
19	13.0	26.0	80.0	1844.0	0
20	13.0	35.0	84.0	2633.0	0
21	13.0	29.0	88.0	3596.0	0
22	13.0	35.0	92.0	4686.0	0
23	13.0	41.0	96.0	5595.0	0
24	13.0	40.0	100.0	6268.0	0
25	13.0	53.0	104.0	6541.0	0
26	13.0	38.0	108.0	6207.0	0
27	13.0	45.0	112.0	5489.0	0
28	13.0	50.0	116.0	4446.0	0
29	13.0	56.0	120.0	3383.0	0
30	13.0	48.0	124.0	2641.0	0
31	13.0	48.0	128.0	1836.0	0
32	13.0	52.0	132.0	1374.0	0
33	13.0	48.0	136.0	969.0	0
34	13.0	61.0	140.0	661.0	0
35	13.0	59.0	144.0	469.0	0
36	13.0	57.0	148.0	355.0	0
37	13.0	39.0	152.0	208.0	0
38	13.0	61.0	156.0	143.0	0
39	13.0	72.0	160.0	90.0	0
40	13.0	54.0	164.0	72.0	0
41	13.0	67.0	168.0	43.0	0
42	13.0	25.0	172.0	21.0	0
43	13.0	45.0	176.0	15.0	0
