window	n	s	window_end	n_recovered_in_win	clade
7	60.0	21.0	44.0	88.0	0
8	60.0	35.0	50.0	159.0	0
9	60.0	45.0	56.0	292.0	0
10	60.0	39.0	62.0	463.0	0
11	60.0	51.0	68.0	809.0	0
12	60.0	74.0	74.0	1448.0	0
13	60.0	85.0	80.0	2549.0	0
14	60.0	117.0	86.0	4259.0	0
15	60.0	116.0	92.0	6656.0	0
16	60.0	134.0	98.0	8659.0	0
17	60.0	151.0	104.0	9745.0	0
18	60.0	161.0	110.0	9113.0	0
19	60.0	180.0	116.0	7029.0	0
20	60.0	174.0	122.0	4786.0	0
21	60.0	185.0	128.0	3074.0	0
22	60.0	189.0	134.0	1907.0	0
23	60.0	219.0	140.0	1097.0	0
24	60.0	220.0	146.0	648.0	0
25	60.0	210.0	152.0	384.0	0
26	60.0	193.0	158.0	203.0	0
27	60.0	160.0	164.0	102.0	0
