	t	genotype	recovered_window
0	38.7	0.0	40.0
1	39.6	0.0	40.0
2	37.1	0.0	40.0
3	36.1	0.0	40.0
4	39.1	0.0	40.0
5	37.3	0.0	40.0
6	37.9	0.0	40.0
7	39.4	0.0	40.0
8	40.0	4.0	40.0
9	38.2	5.0	40.0
10	36.8	0.0	40.0
11	38.8	5.0	40.0
12	38.2	14.0	40.0
13	37.3	0.0	40.0
14	38.5	16.0	40.0
15	36.7	10.0	40.0
16	37.4	5.0	40.0
17	39.8	28.0	40.0
18	39.5	0.0	40.0
19	39.0	17.0	40.0
20	38.5	15.0	40.0
21	38.0	0.0	40.0
22	37.9	0.0	40.0
23	36.9	0.0	40.0
24	37.7	0.0	40.0
25	38.2	0.0	40.0
26	39.2	10.0	40.0
27	39.4	4.0	40.0
28	39.2	15.0	40.0
29	38.7	0.0	40.0
30	40.0	11.0	40.0
31	37.6	0.0	40.0
32	39.4	10.0	40.0
33	37.7	5.0	40.0
34	37.2	4.0	40.0
35	38.4	11.0	40.0
36	39.5	16.0	40.0
37	38.1	4.0	40.0
38	38.6	0.0	40.0
39	39.0	0.0	40.0
0	43.8	16.0	44.0
1	41.5	0.0	44.0
2	41.8	16.0	44.0
3	43.9	0.0	44.0
4	43.3	19.0	44.0
5	41.6	33.0	44.0
6	43.0	0.0	44.0
7	41.8	4.0	44.0
8	43.7	0.0	44.0
9	43.9	18.0	44.0
10	42.8	14.0	44.0
11	43.5	14.0	44.0
12	42.7	0.0	44.0
13	41.7	15.0	44.0
14	41.4	16.0	44.0
15	43.2	26.0	44.0
16	42.0	16.0	44.0
17	40.5	0.0	44.0
18	43.6	30.0	44.0
19	41.6	0.0	44.0
20	40.2	10.0	44.0
21	43.0	0.0	44.0
22	40.4	0.0	44.0
23	42.8	14.0	44.0
24	41.2	0.0	44.0
25	43.5	15.0	44.0
26	41.9	0.0	44.0
27	42.3	29.0	44.0
28	40.3	0.0	44.0
29	43.8	26.0	44.0
30	42.7	21.0	44.0
31	43.0	0.0	44.0
32	40.5	0.0	44.0
33	41.3	20.0	44.0
34	41.5	0.0	44.0
35	41.9	28.0	44.0
36	43.6	38.0	44.0
37	40.7	0.0	44.0
38	40.1	5.0	44.0
