window	n	s	window_end	n_recovered_in_win	clade
9	40.0	10.0	40.0	42.0	0
10	40.0	15.0	44.0	61.0	0
11	40.0	23.0	48.0	97.0	0
12	40.0	28.0	52.0	143.0	0
13	40.0	32.0	56.0	211.0	0
14	40.0	42.0	60.0	286.0	0
15	40.0	41.0	64.0	312.0	0
16	40.0	59.0	68.0	334.0	0
17	40.0	52.0	72.0	321.0	0
18	40.0	65.0	76.0	396.0	0
19	40.0	69.0	80.0	417.0	0
20	40.0	63.0	84.0	409.0	0
21	40.0	67.0	88.0	416.0	0
22	40.0	78.0	92.0	489.0	0
23	40.0	87.0	96.0	469.0	0
24	40.0	82.0	100.0	550.0	0
25	40.0	71.0	104.0	531.0	0
26	40.0	107.0	108.0	521.0	0
27	40.0	112.0	112.0	490.0	0
28	40.0	97.0	116.0	520.0	0
29	40.0	95.0	120.0	550.0	0
30	40.0	103.0	124.0	504.0	0
31	40.0	101.0	128.0	490.0	0
32	40.0	120.0	132.0	443.0	0
33	40.0	114.0	136.0	487.0	0
34	40.0	131.0	140.0	506.0	0
35	40.0	131.0	144.0	485.0	0
36	40.0	120.0	148.0	452.0	0
37	40.0	131.0	152.0	443.0	0
38	40.0	139.0	156.0	484.0	0
39	40.0	115.0	160.0	489.0	0
40	40.0	151.0	164.0	524.0	0
41	40.0	126.0	168.0	485.0	0
42	40.0	129.0	172.0	468.0	0
43	40.0	109.0	176.0	466.0	0
44	40.0	139.0	180.0	434.0	0
45	40.0	119.0	184.0	427.0	0
46	40.0	156.0	188.0	445.0	0
47	40.0	124.0	192.0	431.0	0
48	40.0	147.0	196.0	478.0	0
49	40.0	163.0	200.0	373.0	0
