	t	genotype	recovered_window
0	37.7	5.0	40.0
1	39.2	10.0	40.0
2	37.3	0.0	40.0
3	38.2	5.0	40.0
4	38.7	0.0	40.0
5	36.8	0.0	40.0
6	38.1	17.0	40.0
7	38.7	0.0	40.0
8	38.8	5.0	40.0
9	38.1	4.0	40.0
10	39.5	0.0	40.0
11	39.6	0.0	40.0
12	38.2	14.0	40.0
13	36.9	0.0	40.0
14	36.7	10.0	40.0
15	39.4	10.0	40.0
16	36.1	0.0	40.0
17	37.7	0.0	40.0
18	39.8	28.0	40.0
19	37.6	0.0	40.0
20	39.4	0.0	40.0
21	38.5	15.0	40.0
22	39.4	4.0	40.0
23	38.4	11.0	40.0
24	38.6	0.0	40.0
25	39.0	17.0	40.0
26	39.1	0.0	40.0
27	39.2	15.0	40.0
28	39.5	16.0	40.0
29	39.0	0.0	40.0
30	37.9	0.0	40.0
31	37.9	0.0	40.0
32	38.2	0.0	40.0
33	38.8	16.0	40.0
34	40.0	4.0	40.0
35	38.0	0.0	40.0
36	38.5	16.0	40.0
37	37.3	0.0	40.0
38	40.0	11.0	40.0
39	37.4	5.0	40.0
0	41.2	25.0	44.0
1	41.5	0.0	44.0
2	41.6	0.0	44.0
3	43.3	19.0	44.0
4	41.9	0.0	44.0
5	41.9	10.0	44.0
6	41.8	16.0	44.0
7	42.7	21.0	44.0
8	41.1	16.0	44.0
9	44.0	4.0	44.0
10	43.7	4.0	44.0
11	40.7	0.0	44.0
12	43.0	0.0	44.0
13	40.4	5.0	44.0
14	43.0	0.0	44.0
15	43.8	16.0	44.0
16	41.6	33.0	44.0
17	43.7	0.0	44.0
18	42.4	31.0	44.0
19	40.2	10.0	44.0
20	43.6	30.0	44.0
21	42.8	29.0	44.0
22	43.6	38.0	44.0
23	43.2	16.0	44.0
24	41.5	0.0	44.0
25	42.0	16.0	44.0
26	43.2	26.0	44.0
27	42.4	0.0	44.0
28	43.0	0.0	44.0
29	41.3	20.0	44.0
30	43.0	0.0	44.0
31	43.8	26.0	44.0
32	41.9	28.0	44.0
33	41.8	4.0	44.0
34	40.4	0.0	44.0
35	43.7	0.0	44.0
36	43.9	18.0	44.0
37	42.2	4.0	44.0
38	43.5	14.0	44.0
39	42.7	0.0	44.0
0	44.7	0.0	48.0
1	45.3	0.0	48.0
2	45.1	23.0	48.0
3	47.0	4.0	48.0
4	46.0	16.0	48.0
5	45.6	9.0	48.0
6	47.2	0.0	48.0
7	45.9	41.0	48.0
8	45.5	0.0	48.0
9	47.4	62.0	48.0
10	45.2	54.0	48.0
11	44.1	14.0	48.0
12	45.3	51.0	48.0
13	45.8	4.0	48.0
14	44.6	0.0	48.0
15	46.4	27.0	48.0
16	46.2	22.0	48.0
17	47.5	16.0	48.0
18	45.5	23.0	48.0
19	47.7	0.0	48.0
20	46.3	16.0	48.0
21	44.3	22.0	48.0
22	44.9	43.0	48.0
23	45.3	9.0	48.0
24	47.9	26.0	48.0
25	44.5	0.0	48.0
26	46.9	0.0	48.0
27	47.6	0.0	48.0
28	46.9	16.0	48.0
29	48.0	26.0	48.0
30	47.3	23.0	48.0
31	47.2	26.0	48.0
32	46.4	15.0	48.0
33	46.6	29.0	48.0
34	46.7	23.0	48.0
35	44.9	9.0	48.0
36	45.6	18.0	48.0
37	45.3	0.0	48.0
38	45.8	36.0	48.0
39	45.1	0.0	48.0
0	51.4	97.0	52.0
1	51.8	93.0	52.0
2	50.9	9.0	52.0
3	49.8	4.0	52.0
4	50.7	0.0	52.0
5	48.5	0.0	52.0
6	51.9	16.0	52.0
7	48.7	0.0	52.0
8	50.2	44.0	52.0
9	51.3	91.0	52.0
10	51.9	111.0	52.0
11	52.0	16.0	52.0
12	50.9	94.0	52.0
13	50.4	23.0	52.0
14	48.5	4.0	52.0
15	48.9	59.0	52.0
16	51.0	26.0	52.0
17	51.6	0.0	52.0
18	52.0	15.0	52.0
19	51.5	74.0	52.0
20	49.7	50.0	52.0
21	51.6	14.0	52.0
22	48.8	26.0	52.0
23	48.9	0.0	52.0
24	50.7	26.0	52.0
25	50.2	16.0	52.0
26	49.4	44.0	52.0
27	50.6	69.0	52.0
28	49.0	23.0	52.0
29	48.5	39.0	52.0
30	51.5	26.0	52.0
31	48.9	23.0	52.0
32	51.8	56.0	52.0
33	50.9	0.0	52.0
34	51.6	14.0	52.0
35	50.8	0.0	52.0
36	50.8	22.0	52.0
37	49.1	22.0	52.0
38	48.1	27.0	52.0
39	49.0	23.0	52.0
0	55.0	16.0	56.0
1	55.0	60.0	56.0
