R0	timestart	mean_logL	sim_no
1.0	-50.0	-16.16274411649274	20
1.0	-48.0	-16.18933967075119	20
1.0	-46.0	-16.12804235359696	20
1.0	-44.0	-16.09571445181542	20
1.0	-42.0	-16.1148095829521	20
1.0	-40.0	-15.995784142696829	20
1.0	-38.0	-16.275362028290466	20
1.0	-36.0	-15.998347455760873	20
1.0	-34.0	-15.910903109991875	20
1.0	-32.0	-16.239616465190558	20
1.0	-30.0	-15.937538313969322	20
1.0	-28.0	-15.901205840419752	20
1.0	-26.0	-16.065585118258376	20
1.0	-24.0	-15.92381588433636	20
1.0	-22.0	-16.057433821019593	20
1.0	-20.0	-16.12025761245082	20
1.0	-18.0	-16.128273745614003	20
1.0	-16.0	-15.895394141973739	20
1.0	-14.0	-16.102637250050304	20
1.0	-12.0	-15.974575683923856	20
1.0	-10.0	-16.187394225269035	20
1.0	-8.0	-16.262752264466624	20
1.0	-6.0	-16.399323805145123	20
1.0	-4.0	-16.30565271467536	20
1.0	-2.0	-16.46703353778794	20
1.0	0.0	-16.493679608400925	20
1.0	2.0	-16.839148668354333	20
1.0	4.0	-16.940856015266004	20
1.0	6.0	-17.611321391734176	20
1.0	8.0	-17.67949666983597	20
1.0	10.0	-17.83252463972035	20
1.0	12.0	-18.70595063967557	20
1.0	14.0	-18.746031995982342	20
1.0	16.0	-19.6406029432723	20
1.0	18.0	-20.532645727242393	20
1.0	20.0		20
1.0	22.0		20
1.0	24.0		20
1.0	26.0		20
1.0	28.0		20
1.0	30.0		20
1.0	32.0		20
1.0	34.0		20
1.0	36.0		20
1.1	-50.0	-16.009724414210147	20
1.1	-48.0	-15.839138708483194	20
1.1	-46.0	-15.691217003182626	20
1.1	-44.0	-15.772407424012187	20
1.1	-42.0	-15.592696734061168	20
1.1	-40.0	-15.552439855055031	20
1.1	-38.0	-15.702910921411123	20
1.1	-36.0	-15.449073557058862	20
1.1	-34.0	-15.393663160956057	20
1.1	-32.0	-15.40302612761587	20
1.1	-30.0	-15.353488980426212	20
1.1	-28.0	-15.370232358779802	20
1.1	-26.0	-15.317848467750323	20
1.1	-24.0	-15.407079363765025	20
1.1	-22.0	-15.258664065834978	20
1.1	-20.0	-15.192599491052192	20
1.1	-18.0	-15.264624959486436	20
1.1	-16.0	-15.21276333611738	20
1.1	-14.0	-15.143140636396996	20
1.1	-12.0	-15.192603436195157	20
1.1	-10.0	-15.186918815220087	20
1.1	-8.0	-15.142752005261457	20
1.1	-6.0	-15.209979465112815	20
1.1	-4.0	-15.179163567131024	20
1.1	-2.0	-15.324110864388533	20
1.1	0.0	-15.35119657113091	20
1.1	2.0	-15.504970535529642	20
1.1	4.0	-15.657198644976848	20
1.1	6.0	-15.718988724964953	20
1.1	8.0	-16.0684077157565	20
1.1	10.0	-16.34805579876086	20
1.1	12.0	-16.947390226075306	20
1.1	14.0	-17.48181765159145	20
1.1	16.0	-18.08998938753099	20
1.1	18.0	-18.16344486188159	20
1.1	20.0	-19.455258614767594	20
1.1	22.0		20
1.1	24.0		20
1.1	26.0		20
1.1	28.0		20
1.1	30.0		20
1.1	32.0		20
1.1	34.0		20
1.1	36.0		20
1.2	-50.0	-16.142459575324384	20
1.2	-48.0	-16.15600328933741	20
1.2	-46.0	-16.2694414621993	20
1.2	-44.0	-15.790057729006458	20
1.2	-42.0	-15.833708062285499	20
1.2	-40.0	-15.503918692687558	20
1.2	-38.0	-15.586455689648925	20
1.2	-36.0	-15.517906702274846	20
1.2	-34.0	-15.567712791679412	20
1.2	-32.0	-15.440698886526187	20
1.2	-30.0	-15.32547952765386	20
1.2	-28.0	-15.08080595730134	20
1.2	-26.0	-15.173264764279839	20
1.2	-24.0	-15.215987700242414	20
1.2	-22.0	-15.164049705166752	20
1.2	-20.0	-14.950656589007584	20
1.2	-18.0	-15.00534478540035	20
1.2	-16.0	-14.859532558971049	20
1.2	-14.0	-14.860826716314383	20
1.2	-12.0	-14.685921135173473	20
1.2	-10.0	-14.667700866423669	20
1.2	-8.0	-14.768263279145899	20
1.2	-6.0	-14.744375573754592	20
1.2	-4.0	-14.670059560044322	20
1.2	-2.0	-14.608831650023921	20
1.2	0.0	-14.72331139907935	20
1.2	2.0	-14.761110941652607	20
1.2	4.0	-14.862189828325032	20
1.2	6.0	-14.968297112456037	20
1.2	8.0	-15.243291225641656	20
1.2	10.0	-15.518709712901138	20
1.2	12.0	-16.0798064416808	20
1.2	14.0	-16.208509383600802	20
1.2	16.0	-16.467449675811327	20
1.2	18.0	-17.173807586314673	20
1.2	20.0	-17.96309620073658	20
1.2	22.0	-19.56836401642125	20
1.2	24.0		20
1.2	26.0		20
1.2	28.0		20
1.2	30.0		20
1.2	32.0		20
1.2	34.0		20
1.2	36.0		20
1.3	-50.0	-17.039783383714443	20
1.3	-48.0	-16.86677130541701	20
1.3	-46.0	-16.837288404918624	20
1.3	-44.0	-16.666130712573512	20
1.3	-42.0	-16.665194082811286	20
1.3	-40.0	-16.68931043059808	20
1.3	-38.0	-16.0943975760946	20
1.3	-36.0	-15.827698030457517	20
1.3	-34.0	-15.899431341452635	20
1.3	-32.0	-15.680593410795677	20
1.3	-30.0	-15.560064380308443	20
1.3	-28.0	-15.60076526396739	20
1.3	-26.0	-15.259238176224889	20
1.3	-24.0	-15.304202570398763	20
1.3	-22.0	-15.195777862831045	20
1.3	-20.0	-15.023615878014686	20
1.3	-18.0	-14.975297908986573	20
1.3	-16.0	-14.82348939428953	20
1.3	-14.0	-14.842803124790027	20
1.3	-12.0	-14.652573966891424	20
1.3	-10.0	-14.606766337541936	20
