n_iter	R0	timestart	llh
0.0	1.0	36.0	-inf
0.0	1.0	34.0	-inf
0.0	1.0	32.0	-inf
0.0	1.0	30.0	-inf
0.0	1.0	28.0	-22.067595687544674
0.0	1.0	26.0	-inf
0.0	1.0	24.0	-26.566293147175603
0.0	1.0	22.0	-28.41021610744263
0.0	1.0	20.0	-27.91343545329497
0.0	1.0	18.0	-20.734343594962585
0.0	1.0	16.0	-18.55910413766252
0.0	1.0	14.0	-18.40248757728296
0.0	1.0	12.0	-19.925200828132102
0.0	1.0	10.0	-17.91118206212303
0.0	1.0	8.0	-17.82507737352707
0.0	1.0	6.0	-15.834917327479703
0.0	1.0	4.0	-17.650672936458065
0.0	1.0	2.0	-16.582015635387634
0.0	1.0	0.0	-15.990620896142508
0.0	1.0	-2.0	-17.282923545126515
0.0	1.0	-4.0	-16.175961653783432
0.0	1.0	-6.0	-15.995159878825447
0.0	1.0	-8.0	-15.778783840782653
0.0	1.0	-10.0	-17.06362198927773
0.0	1.0	-12.0	-16.131991084146595
0.0	1.0	-14.0	-16.349492381394256
0.0	1.0	-16.0	-15.97752909846818
0.0	1.0	-18.0	-16.46633591634933
0.0	1.0	-20.0	-16.1129377745319
0.0	1.0	-22.0	-16.347141525291534
0.0	1.0	-24.0	-15.669524706199143
0.0	1.0	-26.0	-17.533915098965863
0.0	1.0	-28.0	-15.530177798922697
0.0	1.0	-30.0	-15.741925026001859
0.0	1.0	-32.0	-16.53642107556114
0.0	1.0	-34.0	-16.2934318200454
0.0	1.0	-36.0	-15.528844698604935
0.0	1.0	-38.0	-16.39875838051301
0.0	1.0	-40.0	-16.406685250516617
0.0	1.0	-42.0	-16.036953912831414
0.0	1.0	-44.0	-16.072017031843952
0.0	1.0	-46.0	-16.16974219796828
0.0	1.0	-48.0	-15.644367178036667
0.0	1.0	-50.0	-16.315082032235885
0.0	1.2	36.0	-inf
0.0	1.2	34.0	-inf
0.0	1.2	32.0	-inf
0.0	1.2	30.0	-inf
0.0	1.2	28.0	-inf
0.0	1.2	26.0	-23.43493392510402
0.0	1.2	24.0	-22.727096554131744
0.0	1.2	22.0	-17.727263511887696
0.0	1.2	20.0	-17.54428259895185
0.0	1.2	18.0	-15.692834592065957
0.0	1.2	16.0	-15.664615086157827
0.0	1.2	14.0	-16.096676516400862
0.0	1.2	12.0	-16.369334134470517
0.0	1.2	10.0	-15.691433774258249
0.0	1.2	8.0	-14.642040326885068
0.0	1.2	6.0	-14.815555529374564
0.0	1.2	4.0	-14.67090464783316
0.0	1.2	2.0	-14.591608336845141
0.0	1.2	0.0	-15.068690580566567
0.0	1.2	-2.0	-14.553813868781234
0.0	1.2	-4.0	-14.575961348470042
0.0	1.2	-6.0	-15.348277700120901
0.0	1.2	-8.0	-14.52419195645654
0.0	1.2	-10.0	-14.549485503479401
0.0	1.2	-12.0	-14.888885492533277
0.0	1.2	-14.0	-15.070452370913655
0.0	1.2	-16.0	-15.165448743928225
0.0	1.2	-18.0	-15.029609258700926
0.0	1.2	-20.0	-14.892689267355454
0.0	1.2	-22.0	-15.679556911222175
0.0	1.2	-24.0	-15.326183000505512
0.0	1.2	-26.0	-15.596624961543275
0.0	1.2	-28.0	-14.811163664694027
0.0	1.2	-30.0	-15.546143787224407
0.0	1.2	-32.0	-16.341647470787105
0.0	1.2	-34.0	-15.33587572413318
0.0	1.2	-36.0	-15.480060222283948
0.0	1.2	-38.0	-15.565840880872766
0.0	1.2	-40.0	-15.262775663370093
0.0	1.2	-42.0	-16.388924738644306
0.0	1.2	-44.0	-15.694491875068888
0.0	1.2	-46.0	-16.910394195698583
0.0	1.2	-48.0	-16.119804784079644
0.0	1.2	-50.0	-16.024722917643423
0.0	1.4	36.0	-inf
0.0	1.4	34.0	-inf
0.0	1.4	32.0	-inf
0.0	1.4	30.0	-inf
0.0	1.4	28.0	-23.578351458225526
0.0	1.4	26.0	-23.702063498933853
0.0	1.4	24.0	-19.3999826040784
0.0	1.4	22.0	-18.318520627079536
0.0	1.4	20.0	-16.254465310255195
0.0	1.4	18.0	-16.26606158597607
0.0	1.4	16.0	-14.902270579332246
0.0	1.4	14.0	-14.323101406501497
0.0	1.4	12.0	-14.44057271815144
0.0	1.4	10.0	-14.270504150041091
0.0	1.4	8.0	-14.414706160602037
0.0	1.4	6.0	-13.968759176465662
0.0	1.4	4.0	-14.364345748059966
0.0	1.4	2.0	-14.117581489933526
0.0	1.4	0.0	-14.22848399494575
0.0	1.4	-2.0	-14.080169537769397
0.0	1.4	-4.0	-14.352688533832406
0.0	1.4	-6.0	-14.363027187065263
0.0	1.4	-8.0	-14.426554354286395
0.0	1.4	-10.0	-14.44609237149609
0.0	1.4	-12.0	-14.443843140017755
0.0	1.4	-14.0	-14.249745313883562
0.0	1.4	-16.0	-15.361816365658239
0.0	1.4	-18.0	-15.299521615544561
0.0	1.4	-20.0	-15.982751100314717
0.0	1.4	-22.0	-15.837177726978714
0.0	1.4	-24.0	-15.804595427692481
