	t	genotype	recovered_window
0	35.8	1.0	36.0
1	35.0	3.0	36.0
2	33.9	20.0	36.0
3	33.0	1.0	36.0
4	32.8	1.0	36.0
5	32.6	21.0	36.0
6	32.6	1.0	36.0
7	33.0	1.0	36.0
8	35.7	1.0	36.0
9	34.4	1.0	36.0
0	36.1	6.0	40.0
1	36.5	1.0	40.0
2	37.7	32.0	40.0
3	37.2	18.0	40.0
4	39.6	24.0	40.0
5	37.2	18.0	40.0
6	38.9	18.0	40.0
7	36.5	6.0	40.0
8	37.4	32.0	40.0
9	37.6	33.0	40.0
0	43.4	39.0	44.0
1	42.5	18.0	44.0
2	44.0	28.0	44.0
3	43.3	18.0	44.0
4	42.7	6.0	44.0
5	40.5	22.0	44.0
6	41.3	18.0	44.0
7	41.7	32.0	44.0
8	40.7	35.0	44.0
9	43.3	18.0	44.0
0	47.6	22.0	48.0
1	45.1	18.0	48.0
2	45.3	39.0	48.0
3	45.8	49.0	48.0
4	46.3	52.0	48.0
5	46.9	44.0	48.0
6	46.8	50.0	48.0
7	47.0	36.0	48.0
8	46.6	36.0	48.0
9	45.7	48.0	48.0
0	48.2	18.0	52.0
1	51.8	73.0	52.0
2	51.2	28.0	52.0
3	49.9	22.0	52.0
4	51.6	18.0	52.0
5	51.1	36.0	52.0
6	51.4	46.0	52.0
7	49.8	46.0	52.0
8	50.8	37.0	52.0
9	48.1	42.0	52.0
